V4_0,Time_codelist,Time,Geography_codelist,Geography,Age_codelist,Age,Sex_codelist,Sex
626,Year,2013,E38000002,,,67,,Male
713,Year,2013,E38000002,,,67,,Female
679,Year,2013,E38000002,,,68,,Male
682,Year,2013,E38000002,,,68,,Female
603,Year,2013,E38000002,,,69,,Male
697,Year,2013,E38000002,,,69,,Female
600,Year,2013,E38000002,,,70,,Male
651,Year,2013,E38000002,,,70,,Female
475,Year,2013,E38000002,,,71,,Male
531,Year,2013,E38000002,,,71,,Female
405,Year,2013,E38000002,,,72,,Male
490,Year,2013,E38000002,,,72,,Female
466,Year,2013,E38000002,,,73,,Male
490,Year,2013,E38000002,,,73,,Female
420,Year,2013,E38000002,,,74,,Male
483,Year,2013,E38000002,,,74,,Female
399,Year,2013,E38000002,,,75,,Male
461,Year,2013,E38000002,,,75,,Female
402,Year,2013,E38000002,,,76,,Male
429,Year,2013,E38000002,,,76,,Female
348,Year,2013,E38000002,,,77,,Male
424,Year,2013,E38000002,,,77,,Female
335,Year,2013,E38000002,,,78,,Male
399,Year,2013,E38000002,,,78,,Female
331,Year,2013,E38000002,,,79,,Male
369,Year,2013,E38000002,,,79,,Female
256,Year,2013,E38000002,,,80,,Male
353,Year,2013,E38000002,,,80,,Female
300,Year,2013,E38000002,,,81,,Male
384,Year,2013,E38000002,,,81,,Female
267,Year,2013,E38000002,,,82,,Male
351,Year,2013,E38000002,,,82,,Female
196,Year,2013,E38000002,,,83,,Male
328,Year,2013,E38000002,,,83,,Female
211,Year,2013,E38000002,,,84,,Male
288,Year,2013,E38000002,,,84,,Female
163,Year,2013,E38000002,,,85,,Male
280,Year,2013,E38000002,,,85,,Female
151,Year,2013,E38000002,,,86,,Male
230,Year,2013,E38000002,,,86,,Female
119,Year,2013,E38000002,,,87,,Male
249,Year,2013,E38000002,,,87,,Female
136,Year,2013,E38000002,,,88,,Male
195,Year,2013,E38000002,,,88,,Female
107,Year,2013,E38000002,,,89,,Male
193,Year,2013,E38000002,,,89,,Female
321,Year,2013,E38000002,,,90,,Male
752,Year,2013,E38000002,,,90,,Female
1208,Year,2013,E38000003,,,0,,Male
1183,Year,2013,E38000003,,,0,,Female
1300,Year,2013,E38000003,,,1,,Male
1276,Year,2013,E38000003,,,1,,Female
1361,Year,2013,E38000003,,,2,,Male
1342,Year,2013,E38000003,,,2,,Female
1333,Year,2013,E38000003,,,3,,Male
1250,Year,2013,E38000003,,,3,,Female
1319,Year,2013,E38000003,,,4,,Male
1300,Year,2013,E38000003,,,4,,Female
1358,Year,2013,E38000003,,,5,,Male
1331,Year,2013,E38000003,,,5,,Female
1323,Year,2013,E38000003,,,6,,Male
1251,Year,2013,E38000003,,,6,,Female
1278,Year,2013,E38000003,,,7,,Male
1220,Year,2013,E38000003,,,7,,Female
1219,Year,2013,E38000003,,,8,,Male
1229,Year,2013,E38000003,,,8,,Female
1269,Year,2013,E38000003,,,9,,Male
1148,Year,2013,E38000003,,,9,,Female
1233,Year,2013,E38000003,,,10,,Male
1112,Year,2013,E38000003,,,10,,Female
1197,Year,2013,E38000003,,,11,,Male
1118,Year,2013,E38000003,,,11,,Female
1290,Year,2013,E38000003,,,12,,Male
1092,Year,2013,E38000003,,,12,,Female
1280,Year,2013,E38000003,,,13,,Male
1199,Year,2013,E38000003,,,13,,Female
1365,Year,2013,E38000003,,,14,,Male
1271,Year,2013,E38000003,,,14,,Female
1356,Year,2013,E38000003,,,15,,Male
1176,Year,2013,E38000003,,,15,,Female
1363,Year,2013,E38000003,,,16,,Male
1230,Year,2013,E38000003,,,16,,Female
1348,Year,2013,E38000003,,,17,,Male
1277,Year,2013,E38000003,,,17,,Female
1343,Year,2013,E38000003,,,18,,Male
1228,Year,2013,E38000003,,,18,,Female
1104,Year,2013,E38000003,,,19,,Male
823,Year,2013,E38000003,,,19,,Female
1021,Year,2013,E38000003,,,20,,Male
