V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Earnings_codelist,Earnings,Gender_codelist,Gender,Provision_codelist,Provision,Size of Company_codelist,Size of Company
4.0,,19.0,Year,2016,K02000001,,,Less than £100,,All,,Group stakeholder pension,,100 to 499 employees
,x,36.0,Year,2016,K02000001,,,Less than £100,,All,,Unknown pension provision,,100 to 499 employees
174.0,,2.9,Year,2016,K02000001,,,Less than £100,,All,,No pension provision,,100 to 499 employees
47.0,,5.5,Year,2016,K02000001,,,£100 - £200,,All,,Defined benefit,,100 to 499 employees
50.0,,5.2,Year,2016,K02000001,,,£100 - £200,,All,,Defined contribution,,100 to 499 employees
34.0,,6.6,Year,2016,K02000001,,,£100 - £200,,All,,Group personal pension,,100 to 499 employees
,x,29.0,Year,2016,K02000001,,,£100 - £200,,All,,Group self-invested personal pension,,100 to 499 employees
9.0,,13.0,Year,2016,K02000001,,,£100 - £200,,All,,Group stakeholder pension,,100 to 499 employees
,x,21.0,Year,2016,K02000001,,,£100 - £200,,All,,Unknown pension provision,,100 to 499 employees
171.0,,2.9,Year,2016,K02000001,,,£100 - £200,,All,,No pension provision,,100 to 499 employees
81.0,,4.3,Year,2016,K02000001,,,£200 - £300,,All,,Defined benefit,,100 to 499 employees
106.0,,3.6,Year,2016,K02000001,,,£200 - £300,,All,,Defined contribution,,100 to 499 employees
81.0,,4.3,Year,2016,K02000001,,,£200 - £300,,All,,Group personal pension,,100 to 499 employees
,x,27.0,Year,2016,K02000001,,,£200 - £300,,All,,Group self-invested personal pension,,100 to 499 employees
24.0,,7.8,Year,2016,K02000001,,,£200 - £300,,All,,Group stakeholder pension,,100 to 499 employees
9.0,,12.0,Year,2016,K02000001,,,£200 - £300,,All,,Unknown pension provision,,100 to 499 employees
142.0,,3.3,Year,2016,K02000001,,,£200 - £300,,All,,No pension provision,,100 to 499 employees
95.0,,4.0,Year,2016,K02000001,,,£300 - £400,,All,,Defined benefit,,100 to 499 employees
168.0,,3.0,Year,2016,K02000001,,,£300 - £400,,All,,Defined contribution,,100 to 499 employees
