V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Earnings_codelist,Earnings,Gender_codelist,Gender,Provision_codelist,Provision,Size of Company_codelist,Size of Company
21.9,,3.1,Year,2016,K02000001,,,£400 - £500,,All,,Defined contribution,,100 to 499 employees
32.1,,2.4,Year,2016,K02000001,,,£400 - £500,,All,,Group personal pension,,100 to 499 employees
1.2,,15.0,Year,2016,K02000001,,,£400 - £500,,All,,Group self-invested personal pension,,100 to 499 employees
7.8,,5.7,Year,2016,K02000001,,,£400 - £500,,All,,Group stakeholder pension,,100 to 499 employees
2.9,,9.5,Year,2016,K02000001,,,£400 - £500,,All,,Unknown pension provision,,100 to 499 employees
16.3,,3.9,Year,2016,K02000001,,,£400 - £500,,All,,No pension provision,,100 to 499 employees
18.4,,4.3,Year,2016,K02000001,,,£500 - £600,,All,,Defined benefit,,100 to 499 employees
21.9,,3.8,Year,2016,K02000001,,,£500 - £600,,All,,Defined contribution,,100 to 499 employees
33.1,,2.8,Year,2016,K02000001,,,£500 - £600,,All,,Group personal pension,,100 to 499 employees
1.6,,16.0,Year,2016,K02000001,,,£500 - £600,,All,,Group self-invested personal pension,,100 to 499 employees
8.8,,6.4,Year,2016,K02000001,,,£500 - £600,,All,,Group stakeholder pension,,100 to 499 employees
2.7,,12.0,Year,2016,K02000001,,,£500 - £600,,All,,Unknown pension provision,,100 to 499 employees
13.4,,5.1,Year,2016,K02000001,,,£500 - £600,,All,,No pension provision,,100 to 499 employees
24.1,,2.1,Year,2016,K02000001,,,£600 and over,,All,,Defined benefit,,100 to 499 employees
18.3,,2.5,Year,2016,K02000001,,,£600 and over,,All,,Defined contribution,,100 to 499 employees
35.4,,1.6,Year,2016,K02000001,,,£600 and over,,All,,Group personal pension,,100 to 499 employees
1.9,,8.9,Year,2016,K02000001,,,£600 and over,,All,,Group self-invested personal pension,,100 to 499 employees
8.5,,3.9,Year,2016,K02000001,,,£600 and over,,All,,Group stakeholder pension,,100 to 499 employees
1.8,,8.9,Year,2016,K02000001,,,£600 and over,,All,,Unknown pension provision,,100 to 499 employees
10.0,,3.6,Year,2016,K02000001,,,£600 and over,,All,,No pension provision,,100 to 499 employees
23.4,,1.8,Year,2016,K02000001,,,All,,All,,Defined benefit,,500 to 999 employees
21.6,,1.9,Year,2016,K02000001,,,All,,All,,Defined contribution,,500 to 999 employees
25.1,,1.7,Year,2016,K02000001,,,All,,All,,Group personal pension,,500 to 999 employees
1.0,,10.0,Year,2016,K02000001,,,All,,All,,Group self-invested personal pension,,500 to 999 employees
6.2,,4.0,Year,2016,K02000001,,,All,,All,,Group stakeholder pension,,500 to 999 employees
1.8,,7.4,Year,2016,K02000001,,,All,,All,,Unknown pension provision,,500 to 999 employees
21.0,,1.9,Year,2016,K02000001,,,All,,All,,No pension provision,,500 to 999 employees
8.1,,14.0,Year,2016,K02000001,,,Less than £100,,All,,Defined benefit,,500 to 999 employees
8.0,,13.0,Year,2016,K02000001,,,Less than £100,,All,,Defined contribution,,500 to 999 employees
5.8,,16.0,Year,2016,K02000001,,,Less than £100,,All,,Group personal pension,,500 to 999 employees
,x,50.0,Year,2016,K02000001,,,Less than £100,,All,,Group self-invested personal pension,,500 to 999 employees
,x,51.0,Year,2016,K02000001,,,Less than £100,,All,,Group stakeholder pension,,500 to 999 employees
,x,70.0,Year,2016,K02000001,,,Less than £100,,All,,Unknown pension provision,,500 to 999 employees
76.7,,2.2,Year,2016,K02000001,,,Less than £100,,All,,No pension provision,,500 to 999 employees
17.4,,7.4,Year,2016,K02000001,,,£100 - £200,,All,,Defined benefit,,500 to 999 employees
17.0,,7.3,Year,2016,K02000001,,,£100 - £200,,All,,Defined contribution,,500 to 999 employees
11.8,,9.0,Year,2016,K02000001,,,£100 - £200,,All,,Group personal pension,,500 to 999 employees
,x,38.0,Year,2016,K02000001,,,£100 - £200,,All,,Group self-invested personal pension,,500 to 999 employees
2.8,,20.0,Year,2016,K02000001,,,£100 - £200,,All,,Group stakeholder pension,,500 to 999 employees
,x,38.0,Year,2016,K02000001,,,£100 - £200,,All,,Unknown pension provision,,500 to 999 employees
49.7,,3.4,Year,2016,K02000001,,,£100 - £200,,All,,No pension provision,,500 to 999 employees
