V4_0,Time_codelist,Time,Geography_codelist,Geography,Housing_codelist,Housing
478475.0,Quarter,2015 Q2,J01000046,,,Detached
335000.0,Quarter,2015 Q2,J01000046,,,Semi Detached
263000.0,Quarter,2015 Q2,J01000046,,,Terraced
180000.0,Quarter,2015 Q2,J01000046,,,Flat/Maisonette
265000.0,Quarter,2015 Q2,J01000047,,,All properties
450000.0,Quarter,2015 Q2,J01000047,,,Detached
285000.0,Quarter,2015 Q2,J01000047,,,Semi Detached
262000.0,Quarter,2015 Q2,J01000047,,,Terraced
176000.0,Quarter,2015 Q2,J01000047,,,Flat/Maisonette
123000.0,Quarter,2015 Q2,J01000048,,,All properties
235000.0,Quarter,2015 Q2,J01000048,,,Detached
130000.0,Quarter,2015 Q2,J01000048,,,Semi Detached
99000.0,Quarter,2015 Q2,J01000048,,,Terraced
88000.0,Quarter,2015 Q2,J01000048,,,Flat/Maisonette
160000.0,Quarter,2015 Q2,J01000049,,,All properties
260000.0,Quarter,2015 Q2,J01000049,,,Detached
169000.0,Quarter,2015 Q2,J01000049,,,Semi Detached
138000.0,Quarter,2015 Q2,J01000049,,,Terraced
104000.0,Quarter,2015 Q2,J01000049,,,Flat/Maisonette
103000.0,Quarter,2015 Q2,J01000050,,,All properties
192747.5,Quarter,2015 Q2,J01000050,,,Detached
120000.0,Quarter,2015 Q2,J01000050,,,Semi Detached
86810.0,Quarter,2015 Q2,J01000050,,,Terraced
77975.0,Quarter,2015 Q2,J01000050,,,Flat/Maisonette
135000.0,Quarter,2015 Q2,J01000051,,,All properties
258350.0,Quarter,2015 Q2,J01000051,,,Detached
152500.0,Quarter,2015 Q2,J01000051,,,Semi Detached
104500.0,Quarter,2015 Q2,J01000051,,,Terraced
115000.0,Quarter,2015 Q2,J01000051,,,Flat/Maisonette
139950.0,Quarter,2015 Q2,J01000052,,,All properties
235950.0,Quarter,2015 Q2,J01000052,,,Detached
150000.0,Quarter,2015 Q2,J01000052,,,Semi Detached
120500.0,Quarter,2015 Q2,J01000052,,,Terraced
93000.0,Quarter,2015 Q2,J01000052,,,Flat/Maisonette
130000.0,Quarter,2015 Q2,J01000053,,,All properties
185000.0,Quarter,2015 Q2,J01000053,,,Detached
130000.0,Quarter,2015 Q2,J01000053,,,Semi Detached
115000.0,Quarter,2015 Q2,J01000053,,,Terraced
110000.0,Quarter,2015 Q2,J01000053,,,Flat/Maisonette
120000.0,Quarter,2015 Q2,J01000054,,,All properties
218247.5,Quarter,2015 Q2,J01000054,,,Detached
143000.0,Quarter,2015 Q2,J01000054,,,Semi Detached
90000.0,Quarter,2015 Q2,J01000054,,,Terraced
99750.0,Quarter,2015 Q2,J01000054,,,Flat/Maisonette
380000.0,Quarter,2015 Q2,J01000055,,,All properties
664007.0,Quarter,2015 Q2,J01000055,,,Detached
435000.0,Quarter,2015 Q2,J01000055,,,Semi Detached
390000.0,Quarter,2015 Q2,J01000055,,,Terraced
345000.0,Quarter,2015 Q2,J01000055,,,Flat/Maisonette
175000.0,Quarter,2015 Q2,J01000056,,,All properties
272500.0,Quarter,2015 Q2,J01000056,,,Detached
198000.0,Quarter,2015 Q2,J01000056,,,Semi Detached
162000.0,Quarter,2015 Q2,J01000056,,,Terraced
109000.0,Quarter,2015 Q2,J01000056,,,Flat/Maisonette
225000.0,Quarter,2015 Q2,J01000057,,,All properties
365000.0,Quarter,2015 Q2,J01000057,,,Detached
250000.0,Quarter,2015 Q2,J01000057,,,Semi Detached
195000.0,Quarter,2015 Q2,J01000057,,,Terraced
135000.0,Quarter,2015 Q2,J01000057,,,Flat/Maisonette
138000.0,Quarter,2015 Q2,J01000058,,,All properties
210000.0,Quarter,2015 Q2,J01000058,,,Detached
158000.0,Quarter,2015 Q2,J01000058,,,Semi Detached
115000.0,Quarter,2015 Q2,J01000058,,,Terraced
135161.0,Quarter,2015 Q2,J01000058,,,Flat/Maisonette
120512.5,Quarter,2015 Q2,J01000059,,,All properties
180000.0,Quarter,2015 Q2,J01000059,,,Detached
106000.0,Quarter,2015 Q2,J01000059,,,Semi Detached
77000.0,Quarter,2015 Q2,J01000059,,,Terraced
72500.0,Quarter,2015 Q2,J01000059,,,Flat/Maisonette
120000.0,Quarter,2015 Q2,J01000060,,,All properties
205000.0,Quarter,2015 Q2,J01000060,,,Detached
124950.0,Quarter,2015 Q2,J01000060,,,Semi Detached
72250.0,Quarter,2015 Q2,J01000060,,,Terraced
67750.0,Quarter,2015 Q2,J01000060,,,Flat/Maisonette
205000.0,Quarter,2015 Q2,J01000061,,,All properties
344000.0,Quarter,2015 Q2,J01000061,,,Detached
213250.0,Quarter,2015 Q2,J01000061,,,Semi Detached
181000.0,Quarter,2015 Q2,J01000061,,,Terraced
135000.0,Quarter,2015 Q2,J01000061,,,Flat/Maisonette
142000.0,Quarter,2015 Q2,J01000062,,,All properties
249995.0,Quarter,2015 Q2,J01000062,,,Detached
152950.0,Quarter,2015 Q2,J01000062,,,Semi Detached
145000.0,Quarter,2015 Q2,J01000062,,,Terraced
112250.0,Quarter,2015 Q2,J01000062,,,Flat/Maisonette
131000.0,Quarter,2015 Q2,J01000063,,,All properties
190000.0,Quarter,2015 Q2,J01000063,,,Detached
132000.0,Quarter,2015 Q2,J01000063,,,Semi Detached
93500.0,Quarter,2015 Q2,J01000063,,,Terraced
135000.0,Quarter,2015 Q2,J01000063,,,Flat/Maisonette
132500.0,Quarter,2015 Q2,J01000064,,,All properties
229497.5,Quarter,2015 Q2,J01000064,,,Detached
141995.0,Quarter,2015 Q2,J01000064,,,Semi Detached
105000.0,Quarter,2015 Q2,J01000064,,,Terraced
80500.0,Quarter,2015 Q2,J01000064,,,Flat/Maisonette
160000.0,Quarter,2015 Q2,J01000065,,,All properties
254850.0,Quarter,2015 Q2,J01000065,,,Detached
163500.0,Quarter,2015 Q2,J01000065,,,Semi Detached
141900.0,Quarter,2015 Q2,J01000065,,,Terraced
106000.0,Quarter,2015 Q2,J01000065,,,Flat/Maisonette
170000.0,Quarter,2015 Q2,J01000066,,,All properties
