V4_0,Time_codelist,Time,Geography_codelist,Geography,Gender_codelist,Gender,Life Measure_codelist,Life Measure
77.66478,Year,2013,E09000002,,,Male,,Life Expectancy
61.07751,Year,2013,E09000002,,,Male,,Healthy Life Expectancy
78.67471,Year,2013,E09000011,,,Male,,Life Expectancy
60.96755,Year,2013,E09000011,,,Male,,Healthy Life Expectancy
79.71431,Year,2013,E09000031,,,Male,,Life Expectancy
60.52703,Year,2013,E09000031,,,Male,,Healthy Life Expectancy
81.06117,Year,2013,E09000007,,,Male,,Life Expectancy
59.99471,Year,2013,E09000007,,,Male,,Healthy Life Expectancy
79.07525,Year,2013,E09000013,,,Male,,Life Expectancy
59.83498,Year,2013,E09000013,,,Male,,Healthy Life Expectancy
78.47002,Year,2013,E09000025,,,Male,,Life Expectancy
59.23044,Year,2013,E09000025,,,Male,,Healthy Life Expectancy
78.5626,Year,2013,E09000028,,,Male,,Life Expectancy
58.96346,Year,2013,E09000028,,,Male,,Healthy Life Expectancy
78.23887,Year,2013,E09000012,,,Male,,Life Expectancy
57.927,Year,2013,E09000012,,,Male,,Healthy Life Expectancy
78.18436,Year,2013,E09000019,,,Male,,Life Expectancy
57.24772,Year,2013,E09000019,,,Male,,Healthy Life Expectancy
77.5297,Year,2013,E09000030,,,Male,,Life Expectancy
53.60641,Year,2013,E09000030,,,Male,,Healthy Life Expectancy
81.68698,Year,2013,E06000041,,,Male,,Life Expectancy
71.37986,Year,2013,E06000041,,,Male,,Healthy Life Expectancy
81.5432,Year,2013,E10000030,,,Male,,Life Expectancy
68.74096,Year,2013,E10000030,,,Male,,Healthy Life Expectancy
80.70413,Year,2013,E06000037,,,Male,,Life Expectancy
68.37501,Year,2013,E06000037,,,Male,,Healthy Life Expectancy
81.20147,Year,2013,E10000002,,,Male,,Life Expectancy
68.22587,Year,2013,E10000002,,,Male,,Healthy Life Expectancy
80.7717,Year,2013,E06000040,,,Male,,Life Expectancy
68.0209,Year,2013,E06000040,,,Male,,Healthy Life Expectancy
81.29124,Year,2013,E06000036,,,Male,,Life Expectancy
67.90916,Year,2013,E06000036,,,Male,,Healthy Life Expectancy
80.59104,Year,2013,E10000032,,,Male,,Life Expectancy
66.89092,Year,2013,E10000032,,,Male,,Healthy Life Expectancy
80.75954,Year,2013,E10000025,,,Male,,Life Expectancy
66.76416,Year,2013,E10000025,,,Male,,Healthy Life Expectancy
78.11898,Year,2013,E06000038,,,Male,,Life Expectancy
65.95741,Year,2013,E06000038,,,Male,,Healthy Life Expectancy
81.09554,Year,2013,E10000014,,,Male,,Life Expectancy
65.57647,Year,2013,E10000014,,,Male,,Healthy Life Expectancy
78.18274,Year,2013,E06000044,,,Male,,Life Expectancy
64.13448,Year,2013,E06000044,,,Male,,Healthy Life Expectancy
80.35549,Year,2013,E06000046,,,Male,,Life Expectancy
64.09618,Year,2013,E06000046,,,Male,,Healthy Life Expectancy
80.01629,Year,2013,E10000011,,,Male,,Life Expectancy
63.50759,Year,2013,E10000011,,,Male,,Healthy Life Expectancy
79.10866,Year,2013,E06000042,,,Male,,Life Expectancy
63.45577,Year,2013,E06000042,,,Male,,Healthy Life Expectancy
78.77456,Year,2013,E06000035,,,Male,,Life Expectancy
63.23248,Year,2013,E06000035,,,Male,,Healthy Life Expectancy
78.77155,Year,2013,E06000043,,,Male,,Life Expectancy
62.81185,Year,2013,E06000043,,,Male,,Healthy Life Expectancy
79.94133,Year,2013,E10000016,,,Male,,Life Expectancy
62.7584,Year,2013,E10000016,,,Male,,Healthy Life Expectancy
78.18133,Year,2013,E06000045,,,Male,,Life Expectancy
60.11758,Year,2013,E06000045,,,Male,,Healthy Life Expectancy
78.37209,Year,2013,E06000039,,,Male,,Life Expectancy
59.72786,Year,2013,E06000039,,,Male,,Healthy Life Expectancy
80.63934,Year,2013,E06000054,,,Male,,Life Expectancy
68.52289,Year,2013,E06000054,,,Male,,Healthy Life Expectancy
81.24096,Year,2013,E06000025,,,Male,,Life Expectancy
67.83849,Year,2013,E06000025,,,Male,,Healthy Life Expectancy
80.63964,Year,2013,E10000027,,,Male,,Life Expectancy
67.4974,Year,2013,E10000027,,,Male,,Healthy Life Expectancy
81.29502,Year,2013,E10000009,,,Male,,Life Expectancy
67.00722,Year,2013,E10000009,,,Male,,Healthy Life Expectancy
80.11424,Year,2013,E06000024,,,Male,,Life Expectancy
66.41188,Year,2013,E06000024,,,Male,,Healthy Life Expectancy
80.41797,Year,2013,E10000008,,,Male,,Life Expectancy
66.00582,Year,2013,E10000008,,,Male,,Healthy Life Expectancy
80.90283,Year,2013,E06000022,,,Male,,Life Expectancy
65.99182,Year,2013,E06000022,,,Male,,Healthy Life Expectancy
80.29093,Year,2013,E06000029,,,Male,,Life Expectancy
65.46365,Year,2013,E06000029,,,Male,,Healthy Life Expectancy
79.92785,Year,2013,E10000013,,,Male,,Life Expectancy
64.16048,Year,2013,E10000013,,,Male,,Healthy Life Expectancy
79.28821,Year,2013,E06000030,,,Male,,Life Expectancy
63.94829,Year,2013,E06000030,,,Male,,Healthy Life Expectancy
79.43959,Year,2013,E06000052,,,Male,,Life Expectancy
63.72928,Year,2013,E06000052,,,Male,,Healthy Life Expectancy
78.8539,Year,2013,E06000028,,,Male,,Life Expectancy
63.59914,Year,2013,E06000028,,,Male,,Healthy Life Expectancy
78.23068,Year,2013,E06000023,,,Male,,Life Expectancy
62.9781,Year,2013,E06000023,,,Male,,Healthy Life Expectancy
79.1436,Year,2013,E06000027,,,Male,,Life Expectancy
62.40535,Year,2013,E06000027,,,Male,,Healthy Life Expectancy
78.22375,Year,2013,E06000026,,,Male,,Life Expectancy
58.25827,Year,2013,E06000026,,,Male,,Healthy Life Expectancy
82.49062,Year,2013,E06000057,,,Female,,Life Expectancy
63.31739,Year,2013,E06000057,,,Female,,Healthy Life Expectancy
82.26244,Year,2013,E06000004,,,Female,,Life Expectancy
62.93031,Year,2013,E06000004,,,Female,,Healthy Life Expectancy
82.41945,Year,2013,E06000005,,,Female,,Life Expectancy
62.53985,Year,2013,E06000005,,,Female,,Healthy Life Expectancy
82.49347,Year,2013,E08000022,,,Female,,Life Expectancy
60.95641,Year,2013,E08000022,,,Female,,Healthy Life Expectancy
81.75995,Year,2013,E08000021,,,Female,,Life Expectancy
59.87676,Year,2013,E08000021,,,Female,,Healthy Life Expectancy
80.12959,Year,2013,E06000002,,,Female,,Life Expectancy
59.50617,Year,2013,E06000002,,,Female,,Healthy Life Expectancy
81.18864,Year,2013,E08000037,,,Female,,Life Expectancy
59.35481,Year,2013,E08000037,,,Female,,Healthy Life Expectancy
81.34609,Year,2013,E06000047,,,Female,,Life Expectancy
59.32494,Year,2013,E06000047,,,Female,,Healthy Life Expectancy
82.02594,Year,2013,E06000003,,,Female,,Life Expectancy
59.04002,Year,2013,E06000003,,,Female,,Healthy Life Expectancy
81.60355,Year,2013,E08000023,,,Female,,Life Expectancy
58.38024,Year,2013,E08000023,,,Female,,Healthy Life Expectancy
80.86989,Year,2013,E08000024,,,Female,,Life Expectancy
57.98535,Year,2013,E08000024,,,Female,,Healthy Life Expectancy
81.62057,Year,2013,E06000001,,,Female,,Life Expectancy
57.75516,Year,2013,E06000001,,,Female,,Healthy Life Expectancy
83.567,Year,2013,E06000049,,,Female,,Life Expectancy
67.40019,Year,2013,E06000049,,,Female,,Healthy Life Expectancy
82.993,Year,2013,E08000007,,,Female,,Life Expectancy
65.8255,Year,2013,E08000007,,,Female,,Healthy Life Expectancy
82.51296,Year,2013,E08000014,,,Female,,Life Expectancy
63.63049,Year,2013,E08000014,,,Female,,Healthy Life Expectancy
82.49209,Year,2013,E10000006,,,Female,,Life Expectancy
63.56253,Year,2013,E10000006,,,Female,,Healthy Life Expectancy
83.50143,Year,2013,E08000009,,,Female,,Life Expectancy
63.18414,Year,2013,E08000009,,,Female,,Healthy Life Expectancy
83.25227,Year,2013,E06000050,,,Female,,Life Expectancy
62.88511,Year,2013,E06000050,,,Female,,Healthy Life Expectancy
80.94069,Year,2013,E08000010,,,Female,,Life Expectancy
62.51077,Year,2013,E08000010,,,Female,,Healthy Life Expectancy
81.97332,Year,2013,E10000017,,,Female,,Life Expectancy
62.40681,Year,2013,E10000017,,,Female,,Healthy Life Expectancy
81.63561,Year,2013,E08000001,,,Female,,Life Expectancy
62.18615,Year,2013,E08000001,,,Female,,Healthy Life Expectancy
81.61118,Year,2013,E08000013,,,Female,,Life Expectancy
62.03229,Year,2013,E08000013,,,Female,,Healthy Life Expectancy
82.32698,Year,2013,E08000015,,,Female,,Life Expectancy
61.80832,Year,2013,E08000015,,,Female,,Healthy Life Expectancy
81.76098,Year,2013,E06000007,,,Female,,Life Expectancy
61.74997,Year,2013,E06000007,,,Female,,Healthy Life Expectancy
81.20876,Year,2013,E08000002,,,Female,,Life Expectancy
61.62226,Year,2013,E08000002,,,Female,,Healthy Life Expectancy
80.37032,Year,2013,E06000006,,,Female,,Life Expectancy
60.96705,Year,2013,E06000006,,,Female,,Healthy Life Expectancy
80.47425,Year,2013,E08000012,,,Female,,Life Expectancy
59.55188,Year,2013,E08000012,,,Female,,Healthy Life Expectancy
81.2211,Year,2013,E06000008,,,Female,,Life Expectancy
59.54979,Year,2013,E06000008,,,Female,,Healthy Life Expectancy
81.24586,Year,2013,E08000004,,,Female,,Life Expectancy
59.33943,Year,2013,E08000004,,,Female,,Healthy Life Expectancy
80.44837,Year,2013,E08000006,,,Female,,Life Expectancy
58.80126,Year,2013,E08000006,,,Female,,Healthy Life Expectancy
81.03929,Year,2013,E08000005,,,Female,,Life Expectancy
58.75923,Year,2013,E08000005,,,Female,,Healthy Life Expectancy
80.33149,Year,2013,E08000008,,,Female,,Life Expectancy
58.63308,Year,2013,E08000008,,,Female,,Healthy Life Expectancy
80.09801,Year,2013,E06000009,,,Female,,Life Expectancy
58.28943,Year,2013,E06000009,,,Female,,Healthy Life Expectancy
80.83702,Year,2013,E08000011,,,Female,,Life Expectancy
57.85149,Year,2013,E08000011,,,Female,,Healthy Life Expectancy
79.9941,Year,2013,E08000003,,,Female,,Life Expectancy
56.77179,Year,2013,E08000003,,,Female,,Healthy Life Expectancy
83.48765,Year,2013,E06000014,,,Female,,Life Expectancy
67.17472,Year,2013,E06000014,,,Female,,Healthy Life Expectancy
82.94113,Year,2013,E06000011,,,Female,,Life Expectancy
66.73889,Year,2013,E06000011,,,Female,,Healthy Life Expectancy
83.72977,Year,2013,E10000023,,,Female,,Life Expectancy
66.19876,Year,2013,E10000023,,,Female,,Healthy Life Expectancy
82.32258,Year,2013,E08000034,,,Female,,Life Expectancy
63.27292,Year,2013,E08000034,,,Female,,Healthy Life Expectancy
81.67698,Year,2013,E06000012,,,Female,,Life Expectancy
63.20261,Year,2013,E06000012,,,Female,,Healthy Life Expectancy
82.05967,Year,2013,E08000033,,,Female,,Life Expectancy
62.62014,Year,2013,E08000033,,,Female,,Healthy Life Expectancy
82.07848,Year,2013,E08000035,,,Female,,Life Expectancy
62.46058,Year,2013,E08000035,,,Female,,Healthy Life Expectancy
82.53658,Year,2013,E06000013,,,Female,,Life Expectancy
62.30764,Year,2013,E06000013,,,Female,,Healthy Life Expectancy
81.76779,Year,2013,E08000036,,,Female,,Life Expectancy
61.96245,Year,2013,E08000036,,,Female,,Healthy Life Expectancy
82.38312,Year,2013,E08000019,,,Female,,Life Expectancy
59.13185,Year,2013,E08000019,,,Female,,Healthy Life Expectancy
81.35358,Year,2013,E08000032,,,Female,,Life Expectancy
