V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Earnings_codelist,Earnings,Gender_codelist,Gender,Industry_codelist,Industry,Provision_codelist,Provision
,x,89.0,Year,2016,K02000001,,,£200 - £300,,All,,Mining and quarrying ,,Group stakeholder pension
0.0,,0.0,Year,2016,K02000001,,,£200 - £300,,All,,Mining and quarrying ,,Unknown pension provision
,x,61.0,Year,2016,K02000001,,,£200 - £300,,All,,Mining and quarrying ,,No pension provision
,x,54.0,Year,2016,K02000001,,,£300 - £400,,All,,Mining and quarrying ,,Defined benefit
,x,32.0,Year,2016,K02000001,,,£300 - £400,,All,,Mining and quarrying ,,Defined contribution
,x,53.0,Year,2016,K02000001,,,£300 - £400,,All,,Mining and quarrying ,,Group personal pension
0.0,,0.0,Year,2016,K02000001,,,£300 - £400,,All,,Mining and quarrying ,,Group self-invested personal pension
,x,98.0,Year,2016,K02000001,,,£300 - £400,,All,,Mining and quarrying ,,Group stakeholder pension
0.0,,0.0,Year,2016,K02000001,,,£300 - £400,,All,,Mining and quarrying ,,Unknown pension provision
,x,28.0,Year,2016,K02000001,,,£300 - £400,,All,,Mining and quarrying ,,No pension provision
,x,55.0,Year,2016,K02000001,,,£400 - £500,,All,,Mining and quarrying ,,Defined benefit
,x,29.0,Year,2016,K02000001,,,£400 - £500,,All,,Mining and quarrying ,,Defined contribution
,x,48.0,Year,2016,K02000001,,,£400 - £500,,All,,Mining and quarrying ,,Group personal pension
0.0,,0.0,Year,2016,K02000001,,,£400 - £500,,All,,Mining and quarrying ,,Group self-invested personal pension
,x,42.0,Year,2016,K02000001,,,£400 - £500,,All,,Mining and quarrying ,,Group stakeholder pension
0.0,,0.0,Year,2016,K02000001,,,£400 - £500,,All,,Mining and quarrying ,,Unknown pension provision
,x,31.0,Year,2016,K02000001,,,£400 - £500,,All,,Mining and quarrying ,,No pension provision
,x,58.0,Year,2016,K02000001,,,£500 - £600,,All,,Mining and quarrying ,,Defined benefit
,x,22.0,Year,2016,K02000001,,,£500 - £600,,All,,Mining and quarrying ,,Defined contribution
,x,37.0,Year,2016,K02000001,,,£500 - £600,,All,,Mining and quarrying ,,Group personal pension
0.0,,0.0,Year,2016,K02000001,,,£500 - £600,,All,,Mining and quarrying ,,Group self-invested personal pension
,x,25.0,Year,2016,K02000001,,,£500 - £600,,All,,Mining and quarrying ,,Group stakeholder pension
,x,99.0,Year,2016,K02000001,,,£500 - £600,,All,,Mining and quarrying ,,Unknown pension provision
,x,35.0,Year,2016,K02000001,,,£500 - £600,,All,,Mining and quarrying ,,No pension provision
,x,21.0,Year,2016,K02000001,,,£600 and over,,All,,Mining and quarrying ,,Defined benefit
42.6,,8.7,Year,2016,K02000001,,,£600 and over,,All,,Mining and quarrying ,,Defined contribution
25.9,,13.0,Year,2016,K02000001,,,£600 and over,,All,,Mining and quarrying ,,Group personal pension
0.0,,0.0,Year,2016,K02000001,,,£600 and over,,All,,Mining and quarrying ,,Group self-invested personal pension
,x,22.0,Year,2016,K02000001,,,£600 and over,,All,,Mining and quarrying ,,Group stakeholder pension
,x,70.0,Year,2016,K02000001,,,£600 and over,,All,,Mining and quarrying ,,Unknown pension provision
,x,24.0,Year,2016,K02000001,,,£600 and over,,All,,Mining and quarrying ,,No pension provision
14.2,,2.0,Year,2016,K02000001,,,Manufacturing,,All,,Manufacturing ,,Defined benefit
24.8,,1.4,Year,2016,K02000001,,,Manufacturing,,All,,Manufacturing ,,Defined contribution
24.6,,1.4,Year,2016,K02000001,,,Manufacturing,,All,,Manufacturing ,,Group personal pension
0.9,,8.3,Year,2016,K02000001,,,Manufacturing,,All,,Manufacturing ,,Group self-invested personal pension
8.4,,2.6,Year,2016,K02000001,,,Manufacturing,,All,,Manufacturing ,,Group stakeholder pension
1.6,,6.1,Year,2016,K02000001,,,Manufacturing,,All,,Manufacturing ,,Unknown pension provision
25.5,,1.4,Year,2016,K02000001,,,Manufacturing,,All,,Manufacturing ,,No pension provision
,x,44.0,Year,2016,K02000001,,,Less than £100,,All,,Manufacturing ,,Defined benefit
11.0,,18.0,Year,2016,K02000001,,,Less than £100,,All,,Manufacturing ,,Defined contribution
,x,22.0,Year,2016,K02000001,,,Less than £100,,All,,Manufacturing ,,Group personal pension
,x,99.0,Year,2016,K02000001,,,Less than £100,,All,,Manufacturing ,,Group self-invested personal pension
,x,41.0,Year,2016,K02000001,,,Less than £100,,All,,Manufacturing ,,Group stakeholder pension
,x,58.0,Year,2016,K02000001,,,Less than £100,,All,,Manufacturing ,,Unknown pension provision
74.7,,3.8,Year,2016,K02000001,,,Less than £100,,All,,Manufacturing ,,No pension provision
,x,22.0,Year,2016,K02000001,,,£100 - £200,,All,,Manufacturing ,,Defined benefit
11.9,,10.0,Year,2016,K02000001,,,£100 - £200,,All,,Manufacturing ,,Defined contribution
10.3,,11.0,Year,2016,K02000001,,,£100 - £200,,All,,Manufacturing ,,Group personal pension
,x,58.0,Year,2016,K02000001,,,£100 - £200,,All,,Manufacturing ,,Group self-invested personal pension
3.8,,18.0,Year,2016,K02000001,,,£100 - £200,,All,,Manufacturing ,,Group stakeholder pension
,x,71.0,Year,2016,K02000001,,,£100 - £200,,All,,Manufacturing ,,Unknown pension provision
70.6,,2.4,Year,2016,K02000001,,,£100 - £200,,All,,Manufacturing ,,No pension provision
4.4,,12.0,Year,2016,K02000001,,,£200 - £300,,All,,Manufacturing ,,Defined benefit
23.1,,4.6,Year,2016,K02000001,,,£200 - £300,,All,,Manufacturing ,,Defined contribution
18.5,,5.4,Year,2016,K02000001,,,£200 - £300,,All,,Manufacturing ,,Group personal pension
,x,31.0,Year,2016,K02000001,,,£200 - £300,,All,,Manufacturing ,,Group self-invested personal pension
4.7,,11.0,Year,2016,K02000001,,,£200 - £300,,All,,Manufacturing ,,Group stakeholder pension
1.7,,19.0,Year,2016,K02000001,,,£200 - £300,,All,,Manufacturing ,,Unknown pension provision
46.8,,2.8,Year,2016,K02000001,,,£200 - £300,,All,,Manufacturing ,,No pension provision
4.8,,8.0,Year,2016,K02000001,,,£300 - £400,,All,,Manufacturing ,,Defined benefit
26.3,,3.0,Year,2016,K02000001,,,£300 - £400,,All,,Manufacturing ,,Defined contribution
26.3,,3.1,Year,2016,K02000001,,,£300 - £400,,All,,Manufacturing ,,Group personal pension
,x,21.0,Year,2016,K02000001,,,£300 - £400,,All,,Manufacturing ,,Group self-invested personal pension
7.1,,6.5,Year,2016,K02000001,,,£300 - £400,,All,,Manufacturing ,,Group stakeholder pension
1.8,,13.0,Year,2016,K02000001,,,£300 - £400,,All,,Manufacturing ,,Unknown pension provision
33.0,,2.7,Year,2016,K02000001,,,£300 - £400,,All,,Manufacturing ,,No pension provision
7.7,,6.5,Year,2016,K02000001,,,£400 - £500,,All,,Manufacturing ,,Defined benefit
23.8,,3.4,Year,2016,K02000001,,,£400 - £500,,All,,Manufacturing ,,Defined contribution
28.1,,3.0,Year,2016,K02000001,,,£400 - £500,,All,,Manufacturing ,,Group personal pension
1.0,,19.0,Year,2016,K02000001,,,£400 - £500,,All,,Manufacturing ,,Group self-invested personal pension
8.9,,6.1,Year,2016,K02000001,,,£400 - £500,,All,,Manufacturing ,,Group stakeholder pension
1.9,,14.0,Year,2016,K02000001,,,£400 - £500,,All,,Manufacturing ,,Unknown pension provision
28.7,,3.1,Year,2016,K02000001,,,£400 - £500,,All,,Manufacturing ,,No pension provision
12.0,,5.9,Year,2016,K02000001,,,£500 - £600,,All,,Manufacturing ,,Defined benefit
26.9,,3.7,Year,2016,K02000001,,,£500 - £600,,All,,Manufacturing ,,Defined contribution
27.4,,3.6,Year,2016,K02000001,,,£500 - £600,,All,,Manufacturing ,,Group personal pension
,x,24.0,Year,2016,K02000001,,,£500 - £600,,All,,Manufacturing ,,Group self-invested personal pension
11.1,,6.3,Year,2016,K02000001,,,£500 - £600,,All,,Manufacturing ,,Group stakeholder pension
2.2,,15.0,Year,2016,K02000001,,,£500 - £600,,All,,Manufacturing ,,Unknown pension provision
19.6,,4.6,Year,2016,K02000001,,,£500 - £600,,All,,Manufacturing ,,No pension provision
25.7,,2.2,Year,2016,K02000001,,,£600 and over,,All,,Manufacturing ,,Defined benefit
25.9,,2.3,Year,2016,K02000001,,,£600 and over,,All,,Manufacturing ,,Defined contribution
24.6,,2.4,Year,2016,K02000001,,,£600 and over,,All,,Manufacturing ,,Group personal pension
1.2,,13.0,Year,2016,K02000001,,,£600 and over,,All,,Manufacturing ,,Group self-invested personal pension
9.4,,4.2,Year,2016,K02000001,,,£600 and over,,All,,Manufacturing ,,Group stakeholder pension
1.4,,11.0,Year,2016,K02000001,,,£600 and over,,All,,Manufacturing ,,Unknown pension provision
11.8,,3.7,Year,2016,K02000001,,,£600 and over,,All,,Manufacturing ,,No pension provision
48.7,,3.1,Year,2016,K02000001,,,"Electricity, gas, steam and air conditioning supply",,All,,"Electricity, gas, steam and air conditioning supply ",,Defined benefit
23.6,,5.4,Year,2016,K02000001,,,"Electricity, gas, steam and air conditioning supply",,All,,"Electricity, gas, steam and air conditioning supply ",,Defined contribution
18.3,,6.4,Year,2016,K02000001,,,"Electricity, gas, steam and air conditioning supply",,All,,"Electricity, gas, steam and air conditioning supply ",,Group personal pension
,x,58.0,Year,2016,K02000001,,,"Electricity, gas, steam and air conditioning supply",,All,,"Electricity, gas, steam and air conditioning supply ",,Group self-invested personal pension
2.5,,19.0,Year,2016,K02000001,,,"Electricity, gas, steam and air conditioning supply",,All,,"Electricity, gas, steam and air conditioning supply ",,Group stakeholder pension
,x,41.0,Year,2016,K02000001,,,"Electricity, gas, steam and air conditioning supply",,All,,"Electricity, gas, steam and air conditioning supply ",,Unknown pension provision
6.1,,12.0,Year,2016,K02000001,,,"Electricity, gas, steam and air conditioning supply",,All,,"Electricity, gas, steam and air conditioning supply ",,No pension provision
0.0,,0.0,Year,2016,K02000001,,,Less than £100,,All,,"Electricity, gas, steam and air conditioning supply ",,Defined benefit
,x,68.0,Year,2016,K02000001,,,Less than £100,,All,,"Electricity, gas, steam and air conditioning supply ",,Defined contribution
,x,78.0,Year,2016,K02000001,,,Less than £100,,All,,"Electricity, gas, steam and air conditioning supply ",,Group personal pension
0.0,,0.0,Year,2016,K02000001,,,Less than £100,,All,,"Electricity, gas, steam and air conditioning supply ",,Group self-invested personal pension
0.0,,0.0,Year,2016,K02000001,,,Less than £100,,All,,"Electricity, gas, steam and air conditioning supply ",,Group stakeholder pension
0.0,,0.0,Year,2016,K02000001,,,Less than £100,,All,,"Electricity, gas, steam and air conditioning supply ",,Unknown pension provision
,x,44.0,Year,2016,K02000001,,,Less than £100,,All,,"Electricity, gas, steam and air conditioning supply ",,No pension provision
,x,68.0,Year,2016,K02000001,,,£100 - £200,,All,,"Electricity, gas, steam and air conditioning supply ",,Defined benefit
,x,31.0,Year,2016,K02000001,,,£100 - £200,,All,,"Electricity, gas, steam and air conditioning supply ",,Defined contribution
,x,35.0,Year,2016,K02000001,,,£100 - £200,,All,,"Electricity, gas, steam and air conditioning supply ",,Group personal pension
0.0,,0.0,Year,2016,K02000001,,,£100 - £200,,All,,"Electricity, gas, steam and air conditioning supply ",,Group self-invested personal pension
0.0,,0.0,Year,2016,K02000001,,,£100 - £200,,All,,"Electricity, gas, steam and air conditioning supply ",,Group stakeholder pension
0.0,,0.0,Year,2016,K02000001,,,£100 - £200,,All,,"Electricity, gas, steam and air conditioning supply ",,Unknown pension provision
,x,25.0,Year,2016,K02000001,,,£100 - £200,,All,,"Electricity, gas, steam and air conditioning supply ",,No pension provision
,x,26.0,Year,2016,K02000001,,,£200 - £300,,All,,"Electricity, gas, steam and air conditioning supply ",,Defined benefit
,x,23.0,Year,2016,K02000001,,,£200 - £300,,All,,"Electricity, gas, steam and air conditioning supply ",,Defined contribution
,x,23.0,Year,2016,K02000001,,,£200 - £300,,All,,"Electricity, gas, steam and air conditioning supply ",,Group personal pension
0.0,,0.0,Year,2016,K02000001,,,£200 - £300,,All,,"Electricity, gas, steam and air conditioning supply ",,Group self-invested personal pension
0.0,,0.0,Year,2016,K02000001,,,£200 - £300,,All,,"Electricity, gas, steam and air conditioning supply ",,Group stakeholder pension
0.0,,0.0,Year,2016,K02000001,,,£200 - £300,,All,,"Electricity, gas, steam and air conditioning supply ",,Unknown pension provision
,x,49.0,Year,2016,K02000001,,,£200 - £300,,All,,"Electricity, gas, steam and air conditioning supply ",,No pension provision
24.8,,14.0,Year,2016,K02000001,,,£300 - £400,,All,,"Electricity, gas, steam and air conditioning supply ",,Defined benefit
28.5,,12.0,Year,2016,K02000001,,,£300 - £400,,All,,"Electricity, gas, steam and air conditioning supply ",,Defined contribution
31.3,,12.0,Year,2016,K02000001,,,£300 - £400,,All,,"Electricity, gas, steam and air conditioning supply ",,Group personal pension
0.0,,0.0,Year,2016,K02000001,,,£300 - £400,,All,,"Electricity, gas, steam and air conditioning supply ",,Group self-invested personal pension
,x,50.0,Year,2016,K02000001,,,£300 - £400,,All,,"Electricity, gas, steam and air conditioning supply ",,Group stakeholder pension
,x,99.0,Year,2016,K02000001,,,£300 - £400,,All,,"Electricity, gas, steam and air conditioning supply ",,Unknown pension provision
