V4_0,Time_codelist,Time,Geography_codelist,Geography,Component_codelist,Component
83,Quarter,2010 Q4,K03000001,,GST,
79,Quarter,2011 Q1,K03000001,,GST,
56,Quarter,2011 Q2,K03000001,,GST,
52,Quarter,2011 Q3,K03000001,,GST,
61,Quarter,2011 Q4,K03000001,,GST,
81,Quarter,2012 Q1,K03000001,,GST,
92,Quarter,2012 Q2,K03000001,,GST,
97,Quarter,2012 Q3,K03000001,,GST,
100,Quarter,2012 Q4,K03000001,,GST,
101,Quarter,2013 Q1,K03000001,,GST,
81,Quarter,2013 Q2,K03000001,,GST,
90,Quarter,2013 Q3,K03000001,,GST,
72,Quarter,2013 Q4,K03000001,,GST,
75,Quarter,2014 Q1,K03000001,,GST,
80,Quarter,2014 Q2,K03000001,,GST,
78,Quarter,2014 Q3,K03000001,,GST,
66,Quarter,2014 Q4,K03000001,,GST,
67,Quarter,2015 Q1,K03000001,,GST,
71,Quarter,2015 Q2,K03000001,,GST,
59,Quarter,2015 Q3,K03000001,,GST,
54,Quarter,2015 Q4,K03000001,,GST,
66,Quarter,2016 Q1,K03000001,,GST,
56,Quarter,2016 Q2,K03000001,,GST,
48,Quarter,2016 Q3,K03000001,,GST,
56,Quarter,2016 Q4,K03000001,,GST,
62,Quarter,2017 Q1,K03000001,,GST,
47,Quarter,2017 Q2,K03000001,,GST,
594,Quarter,1959 Q2,K03000001,,HMF,
577,Quarter,1959 Q3,K03000001,,HMF,
560,Quarter,1959 Q4,K03000001,,HMF,
549,Quarter,1960 Q1,K03000001,,HMF,
541,Quarter,1960 Q2,K03000001,,HMF,
536,Quarter,1960 Q3,K03000001,,HMF,
525,Quarter,1960 Q4,K03000001,,HMF,
506,Quarter,1961 Q1,K03000001,,HMF,
495,Quarter,1961 Q2,K03000001,,HMF,
485,Quarter,1961 Q3,K03000001,,HMF,
474,Quarter,1961 Q4,K03000001,,HMF,
466,Quarter,1962 Q1,K03000001,,HMF,
462,Quarter,1962 Q2,K03000001,,HMF,
455,Quarter,1962 Q3,K03000001,,HMF,
452,Quarter,1962 Q4,K03000001,,HMF,
450,Quarter,1963 Q1,K03000001,,HMF,
446,Quarter,1963 Q2,K03000001,,HMF,
443,Quarter,1963 Q3,K03000001,,HMF,
442,Quarter,1963 Q4,K03000001,,HMF,
443,Quarter,1964 Q1,K03000001,,HMF,
443,Quarter,1964 Q2,K03000001,,HMF,
442,Quarter,1964 Q3,K03000001,,HMF,
444,Quarter,1964 Q4,K03000001,,HMF,
443,Quarter,1965 Q1,K03000001,,HMF,
442,Quarter,1965 Q2,K03000001,,HMF,
440,Quarter,1965 Q3,K03000001,,HMF,
439,Quarter,1965 Q4,K03000001,,HMF,
436,Quarter,1966 Q1,K03000001,,HMF,
435,Quarter,1966 Q2,K03000001,,HMF,
434,Quarter,1966 Q3,K03000001,,HMF,
437,Quarter,1966 Q4,K03000001,,HMF,
437,Quarter,1967 Q1,K03000001,,HMF,
435,Quarter,1967 Q2,K03000001,,HMF,
431,Quarter,1967 Q3,K03000001,,HMF,
430,Quarter,1967 Q4,K03000001,,HMF,
425,Quarter,1968 Q1,K03000001,,HMF,
418,Quarter,1968 Q2,K03000001,,HMF,
412,Quarter,1968 Q3,K03000001,,HMF,
407,Quarter,1968 Q4,K03000001,,HMF,
401,Quarter,1969 Q1,K03000001,,HMF,
397,Quarter,1969 Q2,K03000001,,HMF,
394,Quarter,1969 Q3,K03000001,,HMF,
393,Quarter,1969 Q4,K03000001,,HMF,
390,Quarter,1970 Q1,K03000001,,HMF,
388,Quarter,1970 Q2,K03000001,,HMF,
386,Quarter,1970 Q3,K03000001,,HMF,
387,Quarter,1970 Q4,K03000001,,HMF,
385,Quarter,1971 Q1,K03000001,,HMF,
384,Quarter,1971 Q2,K03000001,,HMF,
384,Quarter,1971 Q3,K03000001,,HMF,
388,Quarter,1971 Q4,K03000001,,HMF,
387,Quarter,1972 Q1,K03000001,,HMF,
387,Quarter,1972 Q2,K03000001,,HMF,
392,Quarter,1972 Q3,K03000001,,HMF,
388,Quarter,1972 Q4,K03000001,,HMF,
383,Quarter,1973 Q1,K03000001,,HMF,
377,Quarter,1973 Q2,K03000001,,HMF,
374,Quarter,1973 Q3,K03000001,,HMF,
370,Quarter,1973 Q4,K03000001,,HMF,
364,Quarter,1974 Q1,K03000001,,HMF,
360,Quarter,1974 Q2,K03000001,,HMF,
362,Quarter,1974 Q3,K03000001,,HMF,
358,Quarter,1974 Q4,K03000001,,HMF,
353,Quarter,1975 Q1,K03000001,,HMF,
351,Quarter,1975 Q2,K03000001,,HMF,
355,Quarter,1975 Q3,K03000001,,HMF,
354,Quarter,1975 Q4,K03000001,,HMF,
352,Quarter,1976 Q1,K03000001,,HMF,
351,Quarter,1976 Q2,K03000001,,HMF,
353,Quarter,1976 Q3,K03000001,,HMF,
349,Quarter,1976 Q4,K03000001,,HMF,
344,Quarter,1977 Q1,K03000001,,HMF,
341,Quarter,1977 Q2,K03000001,,HMF,
342,Quarter,1977 Q3,K03000001,,HMF,
338,Quarter,1977 Q4,K03000001,,HMF,
335,Quarter,1978 Q1,K03000001,,HMF,
332,Quarter,1978 Q2,K03000001,,HMF,
334,Quarter,1978 Q3,K03000001,,HMF,
331,Quarter,1978 Q4,K03000001,,HMF,
329,Quarter,1979 Q1,K03000001,,HMF,
328,Quarter,1979 Q2,K03000001,,HMF,
333,Quarter,1979 Q3,K03000001,,HMF,
333,Quarter,1979 Q4,K03000001,,HMF,
335,Quarter,1980 Q1,K03000001,,HMF,
337,Quarter,1980 Q2,K03000001,,HMF,
347,Quarter,1980 Q3,K03000001,,HMF,
