V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,HRP Age_codelist,HRP Age,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
0.528567012,0.108986002,6024,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Burglary in dwelling with no loss,, ,, 
0.305775443,0.071827969,7231,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Burglary in dwelling with no loss,, ,, 
0.208082278,0.065850048,6099,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Burglary in dwelling with no loss,, ,, 
0.12706779599999998,0.04981214,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Burglary in dwelling with no loss,, ,, 
0.27158362,0.08642219400000001,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Burglary in dwelling with no loss,, ,, 
0.636441544,0.220471742,1032,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Attempted burglary in dwelling,, ,, 
0.8606832440000001,0.137154057,4747,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Attempted burglary in dwelling,, ,, 
0.8898133,0.127783121,6024,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Attempted burglary in dwelling,, ,, 
0.642372586,0.09932149800000001,7231,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Attempted burglary in dwelling,, ,, 
0.598450956,0.10414366300000001,6099,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Attempted burglary in dwelling,, ,, 
0.49618728,0.09274783800000001,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Attempted burglary in dwelling,, ,, 
0.232497117,0.06687808,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Attempted burglary in dwelling,, ,, 
2.156932539,0.503785114,1032,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Burglary in dwelling with entry,, ,, 
1.001957516,0.14808663,4747,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Burglary in dwelling with entry,, ,, 
1.259868299,0.16050153,6024,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Burglary in dwelling with entry,, ,, 
0.705406201,0.10279146300000001,7231,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Burglary in dwelling with entry,, ,, 
0.656130863,0.109227265,6099,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Burglary in dwelling with entry,, ,, 
0.6462055560000001,0.113002256,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Burglary in dwelling with entry,, ,, 
0.6664296120000001,0.134098351,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Burglary in dwelling with entry,, ,, 
2.744425605,0.5436590720000001,1032,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Burglary in dwelling,, ,, 
1.839693315,0.198397015,4747,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Burglary in dwelling,, ,, 
2.091624687,0.19962051600000003,6024,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Burglary in dwelling,, ,, 
1.347778787,0.141031937,7231,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Burglary in dwelling,, ,, 
1.25458182,0.14968862300000002,6099,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Burglary in dwelling,, ,, 
1.142392836,0.144243438,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Burglary in dwelling,, ,, 
0.89892673,0.149731061,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Burglary in dwelling,, ,, 
1.229898419,0.338806159,1032,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Burglary in dwelling with loss,, ,, 
0.576090317,0.11269782699999999,4747,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Burglary in dwelling with loss,, ,, 
0.7449127759999999,0.11696566800000001,6024,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Burglary in dwelling with loss,, ,, 
0.416820035,0.075097675,7231,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Burglary in dwelling with loss,, ,, 
0.470348091,0.090056676,6099,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Burglary in dwelling with loss,, ,, 
0.51913776,0.101553311,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Burglary in dwelling with loss,, ,, 
0.41893887399999996,0.105541549,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Burglary in dwelling with loss,, ,, 
0.336019997,0.17504655,1032,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Burglary in building other than dwelling,, ,, 
0.49261680700000005,0.12224995400000001,4747,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Burglary in building other than dwelling,, ,, 
0.6550476679999999,0.105610759,6024,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Burglary in building other than dwelling,, ,, 
0.8247712359999999,0.10743140699999999,7231,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Burglary in building other than dwelling,, ,, 
0.784898372,0.11897589,6099,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Burglary in building other than dwelling,, ,, 
0.649773781,0.110972825,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Burglary in building other than dwelling,, ,, 
0.39027053700000003,0.09519891300000001,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Burglary in building other than dwelling,, ,, 
0.09387558900000001,0.093861634,1032,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Attempted burglary in building other than dwelling,, ,, 
0.084633024,0.042825758,4747,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Attempted burglary in building other than dwelling,, ,, 
0.048788748,0.028473388,6024,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Attempted burglary in building other than dwelling,, ,, 
0.161262618,0.047513642,7231,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Attempted burglary in building other than dwelling,, ,, 
0.21844200800000002,0.063733948,6099,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Attempted burglary in building other than dwelling,, ,, 
0.140050904,0.048086702,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Attempted burglary in building other than dwelling,, ,, 
0.111967289,0.05190716099999999,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Attempted burglary in building other than dwelling,, ,, 
0.242144407,0.147828924,1032,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Burglary in building other than dwelling with entry,, ,, 
0.407983783,0.11459261400000001,4747,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Burglary in building other than dwelling with entry,, ,, 
0.606258919,0.10169909699999999,6024,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Burglary in building other than dwelling with entry,, ,, 
0.6635086179999999,0.096300416,7231,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Burglary in building other than dwelling with entry,, ,, 
0.603181692,0.104393214,6099,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Burglary in building other than dwelling with entry,, ,, 
0.5097228770000001,0.098502724,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Burglary in building other than dwelling with entry,, ,, 
0.29226573899999997,0.080989115,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Burglary in building other than dwelling with entry,, ,, 
1.109437269,0.401546561,1032,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Arson and other criminal damage,, ,, 
1.2273646870000001,0.168431351,4747,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Arson and other criminal damage,, ,, 
1.255078552,0.146771191,6024,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Arson and other criminal damage,, ,, 
1.203973102,0.131805762,7231,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Arson and other criminal damage,, ,, 
1.167747178,0.14646783300000002,6099,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Arson and other criminal damage,, ,, 
0.754795254,0.11257341400000001,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Arson and other criminal damage,, ,, 
0.546068926,0.117933033,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Arson and other criminal damage,, ,, 
2.577317821,0.509093115,1032,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Criminal damage to a vehicle,, ,, 
2.960541609,0.25021065,4747,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Criminal damage to a vehicle,, ,, 
3.189956097,0.23728436100000003,6024,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Criminal damage to a vehicle,, ,, 
3.451455887,0.22047251699999998,7231,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Criminal damage to a vehicle,, ,, 
2.4226439909999997,0.211134381,6099,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Criminal damage to a vehicle,, ,, 
1.577745248,0.174013088,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Criminal damage to a vehicle,, ,, 
0.589741384,0.11617167,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Criminal damage to a vehicle,, ,, 
5.145241006,1.0317731509999999,520,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Criminal damage to a vehicle,, ,, 
3.986505587,0.334908467,3625,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Criminal damage to a vehicle,, ,, 
