V4_2,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Accommodation type_codelist,Accommodation type,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Household Type_codelist,HouseholdType
15.045311400000001,1.05512112,29876,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Arson and other criminal damage,,All households
0.0,0.0,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Arson and other criminal damage,,All households
12.62122527,1.415188958,10877,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Arson and other criminal damage,,All households
17.94056764,1.738627208,10183,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Arson and other criminal damage,,All households
20.13315416,1.8158254930000002,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Criminal damage to a vehicle,,All households
31.56829258,3.998882582,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Criminal damage to a vehicle,,All households
33.01451725,1.407894072,29876,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Criminal damage to a vehicle,,All households
0.0,0.0,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Criminal damage to a vehicle,,All households
30.74425307,2.1972987369999997,10877,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Criminal damage to a vehicle,,All households
45.17461127,2.794916788,10183,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Criminal damage to a vehicle,,All households
21.40259934,1.92749587,8364,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Criminal damage to a vehicle,,Vehicle-owning households
60.74153746,7.656969595,2734,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Criminal damage to a vehicle,,Vehicle-owning households
39.66072598,1.6880688209999999,25345,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Criminal damage to a vehicle,,Vehicle-owning households
0.0,0.0,67,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Criminal damage to a vehicle,,Vehicle-owning households
36.39623805,2.596294299,9271,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Criminal damage to a vehicle,,Vehicle-owning households
61.257223100000004,3.778288375,7710,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Criminal damage to a vehicle,,Vehicle-owning households
18.22744093,1.936262688,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Other household theft,,All households
23.3635014,2.817986738,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Other household theft,,All households
24.10976462,1.180568718,29876,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Other household theft,,All households
0.0,0.0,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Other household theft,,All households
22.05284955,1.682860895,10877,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Other household theft,,All households
30.69884348,2.331153765,10183,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Other household theft,,All households
18.16059904,1.6829740080000002,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Theft from a motor vehicle,,All households
17.10984411,2.054708944,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Theft from a motor vehicle,,All households
24.80724399,1.083128477,29876,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Theft from a motor vehicle,,All households
0.0,0.0,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Theft from a motor vehicle,,All households
27.10144883,1.833330734,10877,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Theft from a motor vehicle,,All households
27.56195249,1.924250442,10183,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Theft from a motor vehicle,,All households
19.30566974,1.7866923680000002,8364,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Theft from a motor vehicle,,Vehicle-owning households
33.731108,4.048519767,2734,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Theft from a motor vehicle,,Vehicle-owning households
29.84944995,1.302099069,25345,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Theft from a motor vehicle,,Vehicle-owning households
0.0,0.0,67,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Theft from a motor vehicle,,Vehicle-owning households
32.23684445,2.168967345,9271,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Theft from a motor vehicle,,Vehicle-owning households
37.37428227,2.60423926,7710,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Theft from a motor vehicle,,Vehicle-owning households
1.457073305,0.397434057,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Theft of a motor vehicle,,All households
2.191127151,0.655942239,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Theft of a motor vehicle,,All households
2.363408514,0.32000556399999996,29876,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Theft of a motor vehicle,,All households
0.0,0.0,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Theft of a motor vehicle,,All households
2.273431061,0.540129889,10877,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Theft of a motor vehicle,,All households
3.1481466989999998,0.635574199,10183,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Theft of a motor vehicle,,All households
1.5489453819999999,0.42254089100000003,8364,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Theft of a motor vehicle,,Vehicle-owning households
4.374156737,1.3077909620000001,2734,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Theft of a motor vehicle,,Vehicle-owning households
