V4_0,Time_codelist,Time,Geography_codelist,Geography,Costs_codelist,Costs,Growth Period_codelist,Growth Period,SA / NSA_codelist,SA / NSA,SIC_codelist,SIC
-1.2,Quarter,2001 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
2.4,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
6.5,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_H Transport and Storage
6.0,Quarter,2001 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_H Transport and Storage
11.3,Quarter,2001 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_H Transport and Storage
6.5,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_H Transport and Storage
5.5,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
5.5,Quarter,2001 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
6.0,Quarter,2001 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
5.0,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
9.2,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_J Information and Communication
7.6,Quarter,2001 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_J Information and Communication
19.6,Quarter,2001 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_J Information and Communication
7.3,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_J Information and Communication
12.1,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_K Financial & Insurance Activities
10.7,Quarter,2001 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_K Financial & Insurance Activities
21.9,Quarter,2001 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_K Financial & Insurance Activities
9.4,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_K Financial & Insurance Activities
6.9,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_L Real Estate Activities
7.1,Quarter,2001 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_L Real Estate Activities
5.9,Quarter,2001 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_L Real Estate Activities
5.8,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_L Real Estate Activities
