V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Earnings_codelist,Earnings,Gender_codelist,Gender,Occupation_codelist,Occupation,Provision_codelist,Provision
180.0,,2.5,Year,2016,K02000001,,,£200 - £300,,All,,Administrative and secretarial occupations,,Defined benefit
88.0,,3.7,Year,2016,K02000001,,,£200 - £300,,All,,Administrative and secretarial occupations,,Defined contribution
65.0,,4.3,Year,2016,K02000001,,,£200 - £300,,All,,Administrative and secretarial occupations,,Group personal pension
,x,30.0,Year,2016,K02000001,,,£200 - £300,,All,,Administrative and secretarial occupations,,Group self-invested personal pension
21.0,,7.7,Year,2016,K02000001,,,£200 - £300,,All,,Administrative and secretarial occupations,,Group stakeholder pension
6.0,,14.0,Year,2016,K02000001,,,£200 - £300,,All,,Administrative and secretarial occupations,,Unknown pension provision
202.0,,2.4,Year,2016,K02000001,,,£200 - £300,,All,,Administrative and secretarial occupations,,No pension provision
264.0,,2.0,Year,2016,K02000001,,,£300 - £400,,All,,Administrative and secretarial occupations,,Defined benefit
139.0,,2.9,Year,2016,K02000001,,,£300 - £400,,All,,Administrative and secretarial occupations,,Defined contribution
119.0,,3.2,Year,2016,K02000001,,,£300 - £400,,All,,Administrative and secretarial occupations,,Group personal pension
4.0,,18.0,Year,2016,K02000001,,,£300 - £400,,All,,Administrative and secretarial occupations,,Group self-invested personal pension
34.0,,6.0,Year,2016,K02000001,,,£300 - £400,,All,,Administrative and secretarial occupations,,Group stakeholder pension
10.0,,11.0,Year,2016,K02000001,,,£300 - £400,,All,,Administrative and secretarial occupations,,Unknown pension provision
198.0,,2.4,Year,2016,K02000001,,,£300 - £400,,All,,Administrative and secretarial occupations,,No pension provision
189.0,,2.4,Year,2016,K02000001,,,£400 - £500,,All,,Administrative and secretarial occupations,,Defined benefit
101.0,,3.4,Year,2016,K02000001,,,£400 - £500,,All,,Administrative and secretarial occupations,,Defined contribution
109.0,,3.3,Year,2016,K02000001,,,£400 - £500,,All,,Administrative and secretarial occupations,,Group personal pension
4.0,,18.0,Year,2016,K02000001,,,£400 - £500,,All,,Administrative and secretarial occupations,,Group self-invested personal pension
25.0,,7.0,Year,2016,K02000001,,,£400 - £500,,All,,Administrative and secretarial occupations,,Group stakeholder pension
