V4_0,Time_codelist,Time,Geography_codelist,Geography,Category_codelist,Category,Pay Type_codelist,Pay Type
222.195414686546,Month,Sep 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
333.003684875606,Month,Oct 2001,K03000001,,,Whole Economy,,Total Pay
331.906315288098,Month,Oct 2001,K03000001,,,Private sector,,Total Pay
335.506636350799,Month,Oct 2001,K03000001,,,Public sector,,Total Pay
316.847350959381,Month,Oct 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
406.555554452423,Month,Oct 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
334.569315868792,Month,Oct 2001,K03000001,,,Public sector excluding financial services,,Total Pay
381.784160646134,Month,Oct 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
408.863859944275,Month,Oct 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
221.419763837912,Month,Oct 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
334.149947251101,Month,Nov 2001,K03000001,,,Whole Economy,,Total Pay
333.349640147618,Month,Nov 2001,K03000001,,,Private sector,,Total Pay
335.103703804435,Month,Nov 2001,K03000001,,,Public sector,,Total Pay
318.194683338373,Month,Nov 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
410.635293843988,Month,Nov 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
333.993900857526,Month,Nov 2001,K03000001,,,Public sector excluding financial services,,Total Pay
382.752482526956,Month,Nov 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
408.246310750674,Month,Nov 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
223.882424711597,Month,Nov 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
335.503904343763,Month,Dec 2001,K03000001,,,Whole Economy,,Total Pay
334.991577435379,Month,Dec 2001,K03000001,,,Private sector,,Total Pay
335.870405596426,Month,Dec 2001,K03000001,,,Public sector,,Total Pay
319.992855836981,Month,Dec 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
412.70467050519,Month,Dec 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
332.679398271541,Month,Dec 2001,K03000001,,,Public sector excluding financial services,,Total Pay
382.741353357651,Month,Dec 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
407.035660135766,Month,Dec 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
223.010622803223,Month,Dec 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
336.27066666473,Month,Jan 2002,K03000001,,,Whole Economy,,Total Pay
335.053927984329,Month,Jan 2002,K03000001,,,Private sector,,Total Pay
337.562593467135,Month,Jan 2002,K03000001,,,Public sector,,Total Pay
320.994338953842,Month,Jan 2002,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
414.047647392748,Month,Jan 2002,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
336.574188477396,Month,Jan 2002,K03000001,,,Public sector excluding financial services,,Total Pay
383.742891400989,Month,Jan 2002,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
396.761620974509,Month,Jan 2002,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
223.313913190325,Month,Jan 2002,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
335.22181652685,Month,Feb 2002,K03000001,,,Whole Economy,,Total Pay
330.373025064364,Month,Feb 2002,K03000001,,,Private sector,,Total Pay
338.405438354064,Month,Feb 2002,K03000001,,,Public sector,,Total Pay
318.986673438491,Month,Feb 2002,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
411.509972330641,Month,Feb 2002,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
337.209762932697,Month,Feb 2002,K03000001,,,Public sector excluding financial services,,Total Pay
384.843022942616,Month,Feb 2002,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
408.874484374267,Month,Feb 2002,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
223.893426285254,Month,Feb 2002,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
333.977935389389,Month,Mar 2002,K03000001,,,Whole Economy,,Total Pay
330.725843601302,Month,Mar 2002,K03000001,,,Private sector,,Total Pay
339.744242079889,Month,Mar 2002,K03000001,,,Public sector,,Total Pay
317.713469049325,Month,Mar 2002,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
398.573071047017,Month,Mar 2002,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
338.643195560414,Month,Mar 2002,K03000001,,,Public sector excluding financial services,,Total Pay
387.447661940863,Month,Mar 2002,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
406.902583461821,Month,Mar 2002,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
227.035008851129,Month,Mar 2002,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
339.919827384781,Month,Apr 2002,K03000001,,,Whole Economy,,Total Pay
338.177285655954,Month,Apr 2002,K03000001,,,Private sector,,Total Pay
340.348986903689,Month,Apr 2002,K03000001,,,Public sector,,Total Pay
323.38008463579,Month,Apr 2002,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
414.207813140688,Month,Apr 2002,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
339.598928641073,Month,Apr 2002,K03000001,,,Public sector excluding financial services,,Total Pay
384.557204446285,Month,Apr 2002,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
411.491915868513,Month,Apr 2002,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
226.900159213226,Month,Apr 2002,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
339.610106169265,Month,May 2002,K03000001,,,Whole Economy,,Total Pay
338.241402727167,Month,May 2002,K03000001,,,Private sector,,Total Pay
341.669149676597,Month,May 2002,K03000001,,,Public sector,,Total Pay
324.085954681161,Month,May 2002,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
413.293221152819,Month,May 2002,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
341.59746361669,Month,May 2002,K03000001,,,Public sector excluding financial services,,Total Pay
389.022156061318,Month,May 2002,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
408.412277023418,Month,May 2002,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
228.008484169825,Month,May 2002,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
341.14741202193,Month,Jun 2002,K03000001,,,Whole Economy,,Total Pay
340.376851841169,Month,Jun 2002,K03000001,,,Private sector,,Total Pay
342.377641433961,Month,Jun 2002,K03000001,,,Public sector,,Total Pay
325.782675323921,Month,Jun 2002,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
416.133617600715,Month,Jun 2002,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
341.366660037902,Month,Jun 2002,K03000001,,,Public sector excluding financial services,,Total Pay
392.318285873566,Month,Jun 2002,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
407.606093667769,Month,Jun 2002,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
232.528859620463,Month,Jun 2002,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
341.763272211577,Month,Jul 2002,K03000001,,,Whole Economy,,Total Pay
340.521897943996,Month,Jul 2002,K03000001,,,Private sector,,Total Pay
345.020165821738,Month,Jul 2002,K03000001,,,Public sector,,Total Pay
326.331862647858,Month,Jul 2002,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
418.514383001948,Month,Jul 2002,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
344.174080641355,Month,Jul 2002,K03000001,,,Public sector excluding financial services,,Total Pay
392.84675421825,Month,Jul 2002,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
411.420048167886,Month,Jul 2002,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
229.8838519264,Month,Jul 2002,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
341.451325823843,Month,Aug 2002,K03000001,,,Whole Economy,,Total Pay
340.817478807909,Month,Aug 2002,K03000001,,,Private sector,,Total Pay
340.589613468564,Month,Aug 2002,K03000001,,,Public sector,,Total Pay
325.053642741107,Month,Aug 2002,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
417.05965793704,Month,Aug 2002,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
340.284452110952,Month,Aug 2002,K03000001,,,Public sector excluding financial services,,Total Pay
393.798161203806,Month,Aug 2002,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
410.127374350496,Month,Aug 2002,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
