V4_0,Time_codelist,Time,Geography_codelist,Geography,Category_codelist,Category,Pay Type_codelist,Pay Type,Percentage Change_codelist,Percentage Change
4.057823415237,Month,Sep 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,Single month
4.086719412614,Month,Sep 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,3 month average
8.499052690492,Month,Sep 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,Single month
9.135155432053,Month,Sep 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,3 month average
3.717058557616,Month,Sep 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,Single month
4.366105106635,Month,Sep 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,3 month average
4.702566598459,Month,Oct 2001,K03000001,,,Whole Economy,,Total Pay,,Single month
4.735131807374,Month,Oct 2001,K03000001,,,Whole Economy,,Total Pay,,3 month average
4.402706050981,Month,Oct 2001,K03000001,,,Private sector,,Total Pay,,Single month
4.419019672215,Month,Oct 2001,K03000001,,,Private sector,,Total Pay,,3 month average
6.058131924171,Month,Oct 2001,K03000001,,,Public sector,,Total Pay,,Single month
6.235366515115,Month,Oct 2001,K03000001,,,Public sector,,Total Pay,,3 month average
4.824332166176,Month,Oct 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,Single month
4.744507090181,Month,Oct 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,3 month average
3.738537743999,Month,Oct 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,Single month
4.35806585449,Month,Oct 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,3 month average
5.9920473849,Month,Oct 2001,K03000001,,,Public sector excluding financial services,,Total Pay,,Single month
6.1758320907,Month,Oct 2001,K03000001,,,Public sector excluding financial services,,Total Pay,,3 month average
4.165809587326,Month,Oct 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,Single month
4.218442185768,Month,Oct 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,3 month average
7.685499746287,Month,Oct 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,Single month
8.481592056137,Month,Oct 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,3 month average
2.66803115393,Month,Oct 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,Single month
3.737095186723,Month,Oct 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,3 month average
4.412477891386,Month,Nov 2001,K03000001,,,Whole Economy,,Total Pay,,Single month
4.522080067222,Month,Nov 2001,K03000001,,,Whole Economy,,Total Pay,,3 month average
4.254929192794,Month,Nov 2001,K03000001,,,Private sector,,Total Pay,,Single month
4.258295303246,Month,Nov 2001,K03000001,,,Private sector,,Total Pay,,3 month average
5.12112851236,Month,Nov 2001,K03000001,,,Public sector,,Total Pay,,Single month
5.750379863483,Month,Nov 2001,K03000001,,,Public sector,,Total Pay,,3 month average
4.646523285287,Month,Nov 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,Single month
4.633941499871,Month,Nov 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,3 month average
4.140946026685,Month,Nov 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,Single month
3.908715560636,Month,Nov 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,3 month average
5.063636062303,Month,Nov 2001,K03000001,,,Public sector excluding financial services,,Total Pay,,Single month
5.68284456681,Month,Nov 2001,K03000001,,,Public sector excluding financial services,,Total Pay,,3 month average
3.69346276699,Month,Nov 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,Single month
3.971587775175,Month,Nov 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,3 month average
6.952624958656,Month,Nov 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,Single month
7.707067478494,Month,Nov 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,3 month average
3.10825653655,Month,Nov 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,Single month
3.163097017502,Month,Nov 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,3 month average
3.198524549753,Month,Dec 2001,K03000001,,,Whole Economy,,Total Pay,,Single month
4.098517531133,Month,Dec 2001,K03000001,,,Whole Economy,,Total Pay,,3 month average
2.780707794697,Month,Dec 2001,K03000001,,,Private sector,,Total Pay,,Single month
3.805034299368,Month,Dec 2001,K03000001,,,Private sector,,Total Pay,,3 month average
5.343791868249,Month,Dec 2001,K03000001,,,Public sector,,Total Pay,,Single month
5.506268958361,Month,Dec 2001,K03000001,,,Public sector,,Total Pay,,3 month average
3.320592129474,Month,Dec 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,Single month
4.256903825962,Month,Dec 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,3 month average
0.553403144867,Month,Dec 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,Single month
2.778676452272,Month,Dec 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,3 month average
5.3286572288,Month,Dec 2001,K03000001,,,Public sector excluding financial services,,Total Pay,,Single month
5.460480507439,Month,Dec 2001,K03000001,,,Public sector excluding financial services,,Total Pay,,3 month average
3.609800631794,Month,Dec 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,Single month
3.822161314682,Month,Dec 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,3 month average
3.837015450858,Month,Dec 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,Single month
6.134995343187,Month,Dec 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,3 month average
2.744416026172,Month,Dec 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,Single month
2.840635212964,Month,Dec 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,3 month average
3.722559743809,Month,Jan 2002,K03000001,,,Whole Economy,,Total Pay,,Single month
3.774581952994,Month,Jan 2002,K03000001,,,Whole Economy,,Total Pay,,3 month average
3.477882357226,Month,Jan 2002,K03000001,,,Private sector,,Total Pay,,Single month
3.499778533737,Month,Jan 2002,K03000001,,,Private sector,,Total Pay,,3 month average
4.795409891489,Month,Jan 2002,K03000001,,,Public sector,,Total Pay,,Single month
5.085778075988,Month,Jan 2002,K03000001,,,Public sector,,Total Pay,,3 month average
4.047138157953,Month,Jan 2002,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,Single month
4.000769683122,Month,Jan 2002,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,3 month average
1.595094053682,Month,Jan 2002,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,Single month
2.070479008392,Month,Jan 2002,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,3 month average
4.694205845276,Month,Jan 2002,K03000001,,,Public sector excluding financial services,,Total Pay,,Single month
5.026933929863,Month,Jan 2002,K03000001,,,Public sector excluding financial services,,Total Pay,,3 month average
3.166962386093,Month,Jan 2002,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,Single month
3.489278803681,Month,Jan 2002,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,3 month average
2.520529661052,Month,Jan 2002,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,Single month
