V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,SIC07_codelist,SIC07
1495.0,Year,2017,E14000639,,,Enterprise,86-88,86-88 : Health
4470.0,Year,2017,E14000639,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
66095.0,Year,2017,E14000639,,,Enterprise,Total,Total
5.0,Year,2017,E14000654,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
135.0,Year,2017,E14000654,,,Enterprise,05-39,05-39 : Production
670.0,Year,2017,E14000654,,,Enterprise,41-43,41-43 : Construction
70.0,Year,2017,E14000654,,,Enterprise,45,45 : Motor trades
135.0,Year,2017,E14000654,,,Enterprise,46,46 : Wholesale
300.0,Year,2017,E14000654,,,Enterprise,47,47 : Retail
100.0,Year,2017,E14000654,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
265.0,Year,2017,E14000654,,,Enterprise,55-56,55-56 : Accommodation & food services
705.0,Year,2017,E14000654,,,Enterprise,58-63,58-63 : Information & communication
85.0,Year,2017,E14000654,,,Enterprise,64-66,64-66 : Finance & insurance
130.0,Year,2017,E14000654,,,Enterprise,68,68 : Property
925.0,Year,2017,E14000654,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
355.0,Year,2017,E14000654,,,Enterprise,77-82,77-82 : Business administration & support services
0.0,Year,2017,E14000654,,,Enterprise,84,84 : Public administration & defence
105.0,Year,2017,E14000654,,,Enterprise,85,85 : Education
305.0,Year,2017,E14000654,,,Enterprise,86-88,86-88 : Health
260.0,Year,2017,E14000654,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
4550.0,Year,2017,E14000654,,,Enterprise,Total,Total
0.0,Year,2017,E14000655,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
180.0,Year,2017,E14000655,,,Enterprise,05-39,05-39 : Production
645.0,Year,2017,E14000655,,,Enterprise,41-43,41-43 : Construction
140.0,Year,2017,E14000655,,,Enterprise,45,45 : Motor trades
185.0,Year,2017,E14000655,,,Enterprise,46,46 : Wholesale
450.0,Year,2017,E14000655,,,Enterprise,47,47 : Retail
170.0,Year,2017,E14000655,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
290.0,Year,2017,E14000655,,,Enterprise,55-56,55-56 : Accommodation & food services
490.0,Year,2017,E14000655,,,Enterprise,58-63,58-63 : Information & communication
50.0,Year,2017,E14000655,,,Enterprise,64-66,64-66 : Finance & insurance
135.0,Year,2017,E14000655,,,Enterprise,68,68 : Property
810.0,Year,2017,E14000655,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
430.0,Year,2017,E14000655,,,Enterprise,77-82,77-82 : Business administration & support services
0.0,Year,2017,E14000655,,,Enterprise,84,84 : Public administration & defence
130.0,Year,2017,E14000655,,,Enterprise,85,85 : Education
415.0,Year,2017,E14000655,,,Enterprise,86-88,86-88 : Health
265.0,Year,2017,E14000655,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
4785.0,Year,2017,E14000655,,,Enterprise,Total,Total
10.0,Year,2017,E14000656,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
175.0,Year,2017,E14000656,,,Enterprise,05-39,05-39 : Production
825.0,Year,2017,E14000656,,,Enterprise,41-43,41-43 : Construction
120.0,Year,2017,E14000656,,,Enterprise,45,45 : Motor trades
175.0,Year,2017,E14000656,,,Enterprise,46,46 : Wholesale
365.0,Year,2017,E14000656,,,Enterprise,47,47 : Retail
120.0,Year,2017,E14000656,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
195.0,Year,2017,E14000656,,,Enterprise,55-56,55-56 : Accommodation & food services
745.0,Year,2017,E14000656,,,Enterprise,58-63,58-63 : Information & communication
110.0,Year,2017,E14000656,,,Enterprise,64-66,64-66 : Finance & insurance
170.0,Year,2017,E14000656,,,Enterprise,68,68 : Property
1230.0,Year,2017,E14000656,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
500.0,Year,2017,E14000656,,,Enterprise,77-82,77-82 : Business administration & support services
0.0,Year,2017,E14000656,,,Enterprise,84,84 : Public administration & defence
115.0,Year,2017,E14000656,,,Enterprise,85,85 : Education
315.0,Year,2017,E14000656,,,Enterprise,86-88,86-88 : Health
315.0,Year,2017,E14000656,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
5485.0,Year,2017,E14000656,,,Enterprise,Total,Total
