V4_0,Time_codelist,Time,Geography_codelist,Geography,Employment size band_codelist,Employment size band,Entity Type_codelist,Entity Type
210.0,Year,2016,E14000653,,,10-19,,Enterprise
140.0,Year,2016,E14000653,,,20-49,,Enterprise
40.0,Year,2016,E14000653,,,50-99,,Enterprise
30.0,Year,2016,E14000653,,,100-249,,Enterprise
20.0,Year,2016,E14000653,,,250+,,Enterprise
3655.0,Year,2016,E14000653,,,Total,,Enterprise
1905.0,Year,2016,E14000661,,,0-4,,Enterprise
310.0,Year,2016,E14000661,,,5-9,,Enterprise
180.0,Year,2016,E14000661,,,10-19,,Enterprise
115.0,Year,2016,E14000661,,,20-49,,Enterprise
30.0,Year,2016,E14000661,,,50-99,,Enterprise
20.0,Year,2016,E14000661,,,100-249,,Enterprise
0.0,Year,2016,E14000661,,,250+,,Enterprise
2560.0,Year,2016,E14000661,,,Total,,Enterprise
3865.0,Year,2016,E14000686,,,0-4,,Enterprise
550.0,Year,2016,E14000686,,,5-9,,Enterprise
235.0,Year,2016,E14000686,,,10-19,,Enterprise
125.0,Year,2016,E14000686,,,20-49,,Enterprise
40.0,Year,2016,E14000686,,,50-99,,Enterprise
25.0,Year,2016,E14000686,,,100-249,,Enterprise
10.0,Year,2016,E14000686,,,250+,,Enterprise
4850.0,Year,2016,E14000686,,,Total,,Enterprise
1870.0,Year,2016,E14000688,,,0-4,,Enterprise
295.0,Year,2016,E14000688,,,5-9,,Enterprise
165.0,Year,2016,E14000688,,,10-19,,Enterprise
80.0,Year,2016,E14000688,,,20-49,,Enterprise
30.0,Year,2016,E14000688,,,50-99,,Enterprise
15.0,Year,2016,E14000688,,,100-249,,Enterprise
5.0,Year,2016,E14000688,,,250+,,Enterprise
2460.0,Year,2016,E14000688,,,Total,,Enterprise
2655.0,Year,2016,E14000706,,,0-4,,Enterprise
415.0,Year,2016,E14000706,,,5-9,,Enterprise
190.0,Year,2016,E14000706,,,10-19,,Enterprise
125.0,Year,2016,E14000706,,,20-49,,Enterprise
30.0,Year,2016,E14000706,,,50-99,,Enterprise
15.0,Year,2016,E14000706,,,100-249,,Enterprise
10.0,Year,2016,E14000706,,,250+,,Enterprise
3440.0,Year,2016,E14000706,,,Total,,Enterprise
2360.0,Year,2016,E14000708,,,0-4,,Enterprise
270.0,Year,2016,E14000708,,,5-9,,Enterprise
