V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,Turnover size Band_codelist,Turnover size Band
10.0,Year,2017,E14000944,,,Enterprise,,5000-9999
10.0,Year,2017,E14000944,,,Enterprise,,10000-49999
0.0,Year,2017,E14000944,,,Enterprise,,50000+
1800.0,Year,2017,E14000944,,,Enterprise,,Total
340.0,Year,2017,E14000970,,,Enterprise,,0-49
665.0,Year,2017,E14000970,,,Enterprise,,50-99
770.0,Year,2017,E14000970,,,Enterprise,,100-249
270.0,Year,2017,E14000970,,,Enterprise,,250-499
155.0,Year,2017,E14000970,,,Enterprise,,500-999
100.0,Year,2017,E14000970,,,Enterprise,,1000-1999
90.0,Year,2017,E14000970,,,Enterprise,,2000-4999
35.0,Year,2017,E14000970,,,Enterprise,,5000-9999
35.0,Year,2017,E14000970,,,Enterprise,,10000-49999
10.0,Year,2017,E14000970,,,Enterprise,,50000+
2470.0,Year,2017,E14000970,,,Enterprise,,Total
430.0,Year,2017,E14000971,,,Enterprise,,0-49
900.0,Year,2017,E14000971,,,Enterprise,,50-99
1010.0,Year,2017,E14000971,,,Enterprise,,100-249
270.0,Year,2017,E14000971,,,Enterprise,,250-499
170.0,Year,2017,E14000971,,,Enterprise,,500-999
105.0,Year,2017,E14000971,,,Enterprise,,1000-1999
65.0,Year,2017,E14000971,,,Enterprise,,2000-4999
35.0,Year,2017,E14000971,,,Enterprise,,5000-9999
25.0,Year,2017,E14000971,,,Enterprise,,10000-49999
10.0,Year,2017,E14000971,,,Enterprise,,50000+
3020.0,Year,2017,E14000971,,,Enterprise,,Total
280.0,Year,2017,E14000982,,,Enterprise,,0-49
640.0,Year,2017,E14000982,,,Enterprise,,50-99
895.0,Year,2017,E14000982,,,Enterprise,,100-249
410.0,Year,2017,E14000982,,,Enterprise,,250-499
195.0,Year,2017,E14000982,,,Enterprise,,500-999
105.0,Year,2017,E14000982,,,Enterprise,,1000-1999
85.0,Year,2017,E14000982,,,Enterprise,,2000-4999
20.0,Year,2017,E14000982,,,Enterprise,,5000-9999
20.0,Year,2017,E14000982,,,Enterprise,,10000-49999
5.0,Year,2017,E14000982,,,Enterprise,,50000+
2655.0,Year,2017,E14000982,,,Enterprise,,Total
385.0,Year,2017,E14001006,,,Enterprise,,0-49
755.0,Year,2017,E14001006,,,Enterprise,,50-99
940.0,Year,2017,E14001006,,,Enterprise,,100-249
360.0,Year,2017,E14001006,,,Enterprise,,250-499
175.0,Year,2017,E14001006,,,Enterprise,,500-999
80.0,Year,2017,E14001006,,,Enterprise,,1000-1999
70.0,Year,2017,E14001006,,,Enterprise,,2000-4999
30.0,Year,2017,E14001006,,,Enterprise,,5000-9999
25.0,Year,2017,E14001006,,,Enterprise,,10000-49999
5.0,Year,2017,E14001006,,,Enterprise,,50000+
2825.0,Year,2017,E14001006,,,Enterprise,,Total
265.0,Year,2017,E14001014,,,Enterprise,,0-49
525.0,Year,2017,E14001014,,,Enterprise,,50-99
625.0,Year,2017,E14001014,,,Enterprise,,100-249
270.0,Year,2017,E14001014,,,Enterprise,,250-499
