V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,Legal status_codelist,Legal status,Size Band_codelist,Size Band
9290.0,Year,2017,E12000001,,,Enterprise,Total,Total,,5-9
4605.0,Year,2017,E12000001,,,Enterprise,Total,Total,,10-19
2540.0,Year,2017,E12000001,,,Enterprise,Total,Total,,20-49
825.0,Year,2017,E12000001,,,Enterprise,Total,Total,,50-99
470.0,Year,2017,E12000001,,,Enterprise,Total,Total,,100-249
310.0,Year,2017,E12000001,,,Enterprise,Total,Total,,250+
69830.0,Year,2017,E12000001,,,Enterprise,Total,Total,,Total
142770.0,Year,2017,E12000002,,,Enterprise,1,1 - Company (incl. Building Society),,0-4
20390.0,Year,2017,E12000002,,,Enterprise,1,1 - Company (incl. Building Society),,5-9
12200.0,Year,2017,E12000002,,,Enterprise,1,1 - Company (incl. Building Society),,10-19
7030.0,Year,2017,E12000002,,,Enterprise,1,1 - Company (incl. Building Society),,20-49
2395.0,Year,2017,E12000002,,,Enterprise,1,1 - Company (incl. Building Society),,50-99
1140.0,Year,2017,E12000002,,,Enterprise,1,1 - Company (incl. Building Society),,100-249
710.0,Year,2017,E12000002,,,Enterprise,1,1 - Company (incl. Building Society),,250+
186635.0,Year,2017,E12000002,,,Enterprise,1,1 - Company (incl. Building Society),,Total
