V4_0,Time_codelist,Time,Geography_codelist,Geography,Employment size band_codelist,Employment size band,Entity Type_codelist,Entity Type
420.0,Year,2016,E11000001,,,250+,,Enterprise
100510.0,Year,2016,E11000001,,,Total,,Enterprise
6950.0,Year,2016,E08000001,,,0-4,,Enterprise
1090.0,Year,2016,E08000001,,,5-9,,Enterprise
575.0,Year,2016,E08000001,,,10-19,,Enterprise
295.0,Year,2016,E08000001,,,20-49,,Enterprise
105.0,Year,2016,E08000001,,,50-99,,Enterprise
60.0,Year,2016,E08000001,,,100-249,,Enterprise
35.0,Year,2016,E08000001,,,250+,,Enterprise
9110.0,Year,2016,E08000001,,,Total,,Enterprise
6120.0,Year,2016,E08000002,,,0-4,,Enterprise
1050.0,Year,2016,E08000002,,,5-9,,Enterprise
485.0,Year,2016,E08000002,,,10-19,,Enterprise
215.0,Year,2016,E08000002,,,20-49,,Enterprise
70.0,Year,2016,E08000002,,,50-99,,Enterprise
20.0,Year,2016,E08000002,,,100-249,,Enterprise
20.0,Year,2016,E08000002,,,250+,,Enterprise
7980.0,Year,2016,E08000002,,,Total,,Enterprise
17545.0,Year,2016,E08000003,,,0-4,,Enterprise
2345.0,Year,2016,E08000003,,,5-9,,Enterprise
1350.0,Year,2016,E08000003,,,10-19,,Enterprise
710.0,Year,2016,E08000003,,,20-49,,Enterprise
270.0,Year,2016,E08000003,,,50-99,,Enterprise
150.0,Year,2016,E08000003,,,100-249,,Enterprise
115.0,Year,2016,E08000003,,,250+,,Enterprise
22485.0,Year,2016,E08000003,,,Total,,Enterprise
5290.0,Year,2016,E08000004,,,0-4,,Enterprise
870.0,Year,2016,E08000004,,,5-9,,Enterprise
465.0,Year,2016,E08000004,,,10-19,,Enterprise
230.0,Year,2016,E08000004,,,20-49,,Enterprise
70.0,Year,2016,E08000004,,,50-99,,Enterprise
45.0,Year,2016,E08000004,,,100-249,,Enterprise
25.0,Year,2016,E08000004,,,250+,,Enterprise
6995.0,Year,2016,E08000004,,,Total,,Enterprise
5165.0,Year,2016,E08000005,,,0-4,,Enterprise
735.0,Year,2016,E08000005,,,5-9,,Enterprise
400.0,Year,2016,E08000005,,,10-19,,Enterprise
255.0,Year,2016,E08000005,,,20-49,,Enterprise
70.0,Year,2016,E08000005,,,50-99,,Enterprise
40.0,Year,2016,E08000005,,,100-249,,Enterprise
25.0,Year,2016,E08000005,,,250+,,Enterprise
6690.0,Year,2016,E08000005,,,Total,,Enterprise
6765.0,Year,2016,E08000006,,,0-4,,Enterprise
945.0,Year,2016,E08000006,,,5-9,,Enterprise
525.0,Year,2016,E08000006,,,10-19,,Enterprise
320.0,Year,2016,E08000006,,,20-49,,Enterprise
100.0,Year,2016,E08000006,,,50-99,,Enterprise
45.0,Year,2016,E08000006,,,100-249,,Enterprise
40.0,Year,2016,E08000006,,,250+,,Enterprise
8740.0,Year,2016,E08000006,,,Total,,Enterprise
9135.0,Year,2016,E08000007,,,0-4,,Enterprise
1300.0,Year,2016,E08000007,,,5-9,,Enterprise
685.0,Year,2016,E08000007,,,10-19,,Enterprise
330.0,Year,2016,E08000007,,,20-49,,Enterprise
120.0,Year,2016,E08000007,,,50-99,,Enterprise
50.0,Year,2016,E08000007,,,100-249,,Enterprise
