V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,SIC07_codelist,SIC07
10.0,Year,2016,E06000002,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
210.0,Year,2016,E06000002,,,Enterprise,05-39,05-39 : Production
390.0,Year,2016,E06000002,,,Enterprise,41-43,41-43 : Construction
95.0,Year,2016,E06000002,,,Enterprise,45,45 : Motor trades
110.0,Year,2016,E06000002,,,Enterprise,46,46 : Wholesale
265.0,Year,2016,E06000002,,,Enterprise,47,47 : Retail
95.0,Year,2016,E06000002,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
255.0,Year,2016,E06000002,,,Enterprise,55-56,55-56 : Accommodation & food services
125.0,Year,2016,E06000002,,,Enterprise,58-63,58-63 : Information & communication
50.0,Year,2016,E06000002,,,Enterprise,64-66,64-66 : Finance & insurance
95.0,Year,2016,E06000002,,,Enterprise,68,68 : Property
780.0,Year,2016,E06000002,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
275.0,Year,2016,E06000002,,,Enterprise,77-82,77-82 : Business administration & support services
5.0,Year,2016,E06000002,,,Enterprise,84,84 : Public administration & defence
70.0,Year,2016,E06000002,,,Enterprise,85,85 : Education
175.0,Year,2016,E06000002,,,Enterprise,86-88,86-88 : Health
200.0,Year,2016,E06000002,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
3205.0,Year,2016,E06000002,,,Enterprise,Total,Total
1885.0,Year,2016,E06000057,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
660.0,Year,2016,E06000057,,,Enterprise,05-39,05-39 : Production
1280.0,Year,2016,E06000057,,,Enterprise,41-43,41-43 : Construction
345.0,Year,2016,E06000057,,,Enterprise,45,45 : Motor trades
320.0,Year,2016,E06000057,,,Enterprise,46,46 : Wholesale
865.0,Year,2016,E06000057,,,Enterprise,47,47 : Retail
345.0,Year,2016,E06000057,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
970.0,Year,2016,E06000057,,,Enterprise,55-56,55-56 : Accommodation & food services
435.0,Year,2016,E06000057,,,Enterprise,58-63,58-63 : Information & communication
120.0,Year,2016,E06000057,,,Enterprise,64-66,64-66 : Finance & insurance
315.0,Year,2016,E06000057,,,Enterprise,68,68 : Property
1535.0,Year,2016,E06000057,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
785.0,Year,2016,E06000057,,,Enterprise,77-82,77-82 : Business administration & support services
90.0,Year,2016,E06000057,,,Enterprise,84,84 : Public administration & defence
165.0,Year,2016,E06000057,,,Enterprise,85,85 : Education
440.0,Year,2016,E06000057,,,Enterprise,86-88,86-88 : Health
735.0,Year,2016,E06000057,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
11290.0,Year,2016,E06000057,,,Enterprise,Total,Total
140.0,Year,2016,E06000003,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
230.0,Year,2016,E06000003,,,Enterprise,05-39,05-39 : Production
415.0,Year,2016,E06000003,,,Enterprise,41-43,41-43 : Construction
125.0,Year,2016,E06000003,,,Enterprise,45,45 : Motor trades
70.0,Year,2016,E06000003,,,Enterprise,46,46 : Wholesale
250.0,Year,2016,E06000003,,,Enterprise,47,47 : Retail
120.0,Year,2016,E06000003,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
250.0,Year,2016,E06000003,,,Enterprise,55-56,55-56 : Accommodation & food services
80.0,Year,2016,E06000003,,,Enterprise,58-63,58-63 : Information & communication
25.0,Year,2016,E06000003,,,Enterprise,64-66,64-66 : Finance & insurance
50.0,Year,2016,E06000003,,,Enterprise,68,68 : Property
775.0,Year,2016,E06000003,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
235.0,Year,2016,E06000003,,,Enterprise,77-82,77-82 : Business administration & support services
5.0,Year,2016,E06000003,,,Enterprise,84,84 : Public administration & defence
60.0,Year,2016,E06000003,,,Enterprise,85,85 : Education
150.0,Year,2016,E06000003,,,Enterprise,86-88,86-88 : Health
210.0,Year,2016,E06000003,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
3190.0,Year,2016,E06000003,,,Enterprise,Total,Total
90.0,Year,2016,E06000004,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
375.0,Year,2016,E06000004,,,Enterprise,05-39,05-39 : Production
705.0,Year,2016,E06000004,,,Enterprise,41-43,41-43 : Construction
175.0,Year,2016,E06000004,,,Enterprise,45,45 : Motor trades
165.0,Year,2016,E06000004,,,Enterprise,46,46 : Wholesale
360.0,Year,2016,E06000004,,,Enterprise,47,47 : Retail
200.0,Year,2016,E06000004,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
325.0,Year,2016,E06000004,,,Enterprise,55-56,55-56 : Accommodation & food services
245.0,Year,2016,E06000004,,,Enterprise,58-63,58-63 : Information & communication
80.0,Year,2016,E06000004,,,Enterprise,64-66,64-66 : Finance & insurance
130.0,Year,2016,E06000004,,,Enterprise,68,68 : Property
1495.0,Year,2016,E06000004,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
455.0,Year,2016,E06000004,,,Enterprise,77-82,77-82 : Business administration & support services
