V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,Legal status_codelist,Legal status,Size Band_codelist,Size Band
84775.0,Year,2017,K03000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,Total
438470.0,Year,2017,K03000001,,,Enterprise,Total,Total,,0-49
625355.0,Year,2017,K03000001,,,Enterprise,Total,Total,,50-99
808655.0,Year,2017,K03000001,,,Enterprise,Total,Total,,100-249
312930.0,Year,2017,K03000001,,,Enterprise,Total,Total,,250-499
181020.0,Year,2017,K03000001,,,Enterprise,Total,Total,,500-999
103935.0,Year,2017,K03000001,,,Enterprise,Total,Total,,1000-1999
70735.0,Year,2017,K03000001,,,Enterprise,Total,Total,,2000-4999
26595.0,Year,2017,K03000001,,,Enterprise,Total,Total,,5000-9999
23000.0,Year,2017,K03000001,,,Enterprise,Total,Total,,10000-49999
7395.0,Year,2017,K03000001,,,Enterprise,Total,Total,,50000+
2598090.0,Year,2017,K03000001,,,Enterprise,Total,Total,,Total
250520.0,Year,2017,K04000001,,,Enterprise,1,1 - Company (incl. Building Society),,0-49
442655.0,Year,2017,K04000001,,,Enterprise,1,1 - Company (incl. Building Society),,50-99
541575.0,Year,2017,K04000001,,,Enterprise,1,1 - Company (incl. Building Society),,100-249
197660.0,Year,2017,K04000001,,,Enterprise,1,1 - Company (incl. Building Society),,250-499
130810.0,Year,2017,K04000001,,,Enterprise,1,1 - Company (incl. Building Society),,500-999
80530.0,Year,2017,K04000001,,,Enterprise,1,1 - Company (incl. Building Society),,1000-1999
57935.0,Year,2017,K04000001,,,Enterprise,1,1 - Company (incl. Building Society),,2000-4999
22200.0,Year,2017,K04000001,,,Enterprise,1,1 - Company (incl. Building Society),,5000-9999
19715.0,Year,2017,K04000001,,,Enterprise,1,1 - Company (incl. Building Society),,10000-49999
6190.0,Year,2017,K04000001,,,Enterprise,1,1 - Company (incl. Building Society),,50000+
1749790.0,Year,2017,K04000001,,,Enterprise,1,1 - Company (incl. Building Society),,Total
98245.0,Year,2017,K04000001,,,Enterprise,2,2 - Sole Proprietor,,0-49
99895.0,Year,2017,K04000001,,,Enterprise,2,2 - Sole Proprietor,,50-99
132590.0,Year,2017,K04000001,,,Enterprise,2,2 - Sole Proprietor,,100-249
51225.0,Year,2017,K04000001,,,Enterprise,2,2 - Sole Proprietor,,250-499
14560.0,Year,2017,K04000001,,,Enterprise,2,2 - Sole Proprietor,,500-999
3875.0,Year,2017,K04000001,,,Enterprise,2,2 - Sole Proprietor,,1000-1999
975.0,Year,2017,K04000001,,,Enterprise,2,2 - Sole Proprietor,,2000-4999
135.0,Year,2017,K04000001,,,Enterprise,2,2 - Sole Proprietor,,5000-9999
40.0,Year,2017,K04000001,,,Enterprise,2,2 - Sole Proprietor,,10000-49999
0.0,Year,2017,K04000001,,,Enterprise,2,2 - Sole Proprietor,,50000+
401540.0,Year,2017,K04000001,,,Enterprise,2,2 - Sole Proprietor,,Total
36345.0,Year,2017,K04000001,,,Enterprise,3,3 - Partnership,,0-49
30220.0,Year,2017,K04000001,,,Enterprise,3,3 - Partnership,,50-99
57855.0,Year,2017,K04000001,,,Enterprise,3,3 - Partnership,,100-249
30530.0,Year,2017,K04000001,,,Enterprise,3,3 - Partnership,,250-499
15950.0,Year,2017,K04000001,,,Enterprise,3,3 - Partnership,,500-999
8200.0,Year,2017,K04000001,,,Enterprise,3,3 - Partnership,,1000-1999
3345.0,Year,2017,K04000001,,,Enterprise,3,3 - Partnership,,2000-4999
560.0,Year,2017,K04000001,,,Enterprise,3,3 - Partnership,,5000-9999
275.0,Year,2017,K04000001,,,Enterprise,3,3 - Partnership,,10000-49999
55.0,Year,2017,K04000001,,,Enterprise,3,3 - Partnership,,50000+
183335.0,Year,2017,K04000001,,,Enterprise,3,3 - Partnership,,Total
5.0,Year,2017,K04000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,0-49
0.0,Year,2017,K04000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,50-99
10.0,Year,2017,K04000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,100-249
5.0,Year,2017,K04000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,250-499
10.0,Year,2017,K04000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,500-999
10.0,Year,2017,K04000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,1000-1999
5.0,Year,2017,K04000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,2000-4999
10.0,Year,2017,K04000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,5000-9999
70.0,Year,2017,K04000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,10000-49999
45.0,Year,2017,K04000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,50000+
170.0,Year,2017,K04000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,Total
140.0,Year,2017,K04000001,,,Enterprise,5,5 - Central Government,,0-49
75.0,Year,2017,K04000001,,,Enterprise,5,5 - Central Government,,50-99
170.0,Year,2017,K04000001,,,Enterprise,5,5 - Central Government,,100-249
130.0,Year,2017,K04000001,,,Enterprise,5,5 - Central Government,,250-499
215.0,Year,2017,K04000001,,,Enterprise,5,5 - Central Government,,500-999
625.0,Year,2017,K04000001,,,Enterprise,5,5 - Central Government,,1000-1999
1045.0,Year,2017,K04000001,,,Enterprise,5,5 - Central Government,,2000-4999
910.0,Year,2017,K04000001,,,Enterprise,5,5 - Central Government,,5000-9999
350.0,Year,2017,K04000001,,,Enterprise,5,5 - Central Government,,10000-49999
290.0,Year,2017,K04000001,,,Enterprise,5,5 - Central Government,,50000+
3950.0,Year,2017,K04000001,,,Enterprise,5,5 - Central Government,,Total
4650.0,Year,2017,K04000001,,,Enterprise,6,6 - Local Authority,,0-49
1150.0,Year,2017,K04000001,,,Enterprise,6,6 - Local Authority,,50-99
585.0,Year,2017,K04000001,,,Enterprise,6,6 - Local Authority,,100-249
245.0,Year,2017,K04000001,,,Enterprise,6,6 - Local Authority,,250-499
190.0,Year,2017,K04000001,,,Enterprise,6,6 - Local Authority,,500-999
280.0,Year,2017,K04000001,,,Enterprise,6,6 - Local Authority,,1000-1999
425.0,Year,2017,K04000001,,,Enterprise,6,6 - Local Authority,,2000-4999
200.0,Year,2017,K04000001,,,Enterprise,6,6 - Local Authority,,5000-9999
210.0,Year,2017,K04000001,,,Enterprise,6,6 - Local Authority,,10000-49999
100.0,Year,2017,K04000001,,,Enterprise,6,6 - Local Authority,,50000+
8035.0,Year,2017,K04000001,,,Enterprise,6,6 - Local Authority,,Total
19800.0,Year,2017,K04000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,0-49
11280.0,Year,2017,K04000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,50-99
19825.0,Year,2017,K04000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,100-249
10835.0,Year,2017,K04000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,250-499
6640.0,Year,2017,K04000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,500-999
3535.0,Year,2017,K04000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,1000-1999
2550.0,Year,2017,K04000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,2000-4999
1025.0,Year,2017,K04000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,5000-9999
900.0,Year,2017,K04000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,10000-49999
255.0,Year,2017,K04000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,50000+
76645.0,Year,2017,K04000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,Total
409705.0,Year,2017,K04000001,,,Enterprise,Total,Total,,0-49
585275.0,Year,2017,K04000001,,,Enterprise,Total,Total,,50-99
752610.0,Year,2017,K04000001,,,Enterprise,Total,Total,,100-249
290630.0,Year,2017,K04000001,,,Enterprise,Total,Total,,250-499
168375.0,Year,2017,K04000001,,,Enterprise,Total,Total,,500-999
97055.0,Year,2017,K04000001,,,Enterprise,Total,Total,,1000-1999
66280.0,Year,2017,K04000001,,,Enterprise,Total,Total,,2000-4999
25040.0,Year,2017,K04000001,,,Enterprise,Total,Total,,5000-9999
21560.0,Year,2017,K04000001,,,Enterprise,Total,Total,,10000-49999
6935.0,Year,2017,K04000001,,,Enterprise,Total,Total,,50000+
2423465.0,Year,2017,K04000001,,,Enterprise,Total,Total,,Total
242695.0,Year,2017,E92000001,,,Enterprise,1,1 - Company (incl. Building Society),,0-49
428765.0,Year,2017,E92000001,,,Enterprise,1,1 - Company (incl. Building Society),,50-99
524905.0,Year,2017,E92000001,,,Enterprise,1,1 - Company (incl. Building Society),,100-249
190825.0,Year,2017,E92000001,,,Enterprise,1,1 - Company (incl. Building Society),,250-499
126200.0,Year,2017,E92000001,,,Enterprise,1,1 - Company (incl. Building Society),,500-999
77795.0,Year,2017,E92000001,,,Enterprise,1,1 - Company (incl. Building Society),,1000-1999
56015.0,Year,2017,E92000001,,,Enterprise,1,1 - Company (incl. Building Society),,2000-4999
21470.0,Year,2017,E92000001,,,Enterprise,1,1 - Company (incl. Building Society),,5000-9999
19055.0,Year,2017,E92000001,,,Enterprise,1,1 - Company (incl. Building Society),,10000-49999
6040.0,Year,2017,E92000001,,,Enterprise,1,1 - Company (incl. Building Society),,50000+
1693765.0,Year,2017,E92000001,,,Enterprise,1,1 - Company (incl. Building Society),,Total
90525.0,Year,2017,E92000001,,,Enterprise,2,2 - Sole Proprietor,,0-49
93835.0,Year,2017,E92000001,,,Enterprise,2,2 - Sole Proprietor,,50-99
124545.0,Year,2017,E92000001,,,Enterprise,2,2 - Sole Proprietor,,100-249
48210.0,Year,2017,E92000001,,,Enterprise,2,2 - Sole Proprietor,,250-499
13750.0,Year,2017,E92000001,,,Enterprise,2,2 - Sole Proprietor,,500-999
3670.0,Year,2017,E92000001,,,Enterprise,2,2 - Sole Proprietor,,1000-1999
935.0,Year,2017,E92000001,,,Enterprise,2,2 - Sole Proprietor,,2000-4999
135.0,Year,2017,E92000001,,,Enterprise,2,2 - Sole Proprietor,,5000-9999
40.0,Year,2017,E92000001,,,Enterprise,2,2 - Sole Proprietor,,10000-49999
0.0,Year,2017,E92000001,,,Enterprise,2,2 - Sole Proprietor,,50000+
375645.0,Year,2017,E92000001,,,Enterprise,2,2 - Sole Proprietor,,Total
31710.0,Year,2017,E92000001,,,Enterprise,3,3 - Partnership,,0-49
27290.0,Year,2017,E92000001,,,Enterprise,3,3 - Partnership,,50-99
53255.0,Year,2017,E92000001,,,Enterprise,3,3 - Partnership,,100-249
28195.0,Year,2017,E92000001,,,Enterprise,3,3 - Partnership,,250-499
14825.0,Year,2017,E92000001,,,Enterprise,3,3 - Partnership,,500-999
7675.0,Year,2017,E92000001,,,Enterprise,3,3 - Partnership,,1000-1999
3180.0,Year,2017,E92000001,,,Enterprise,3,3 - Partnership,,2000-4999
530.0,Year,2017,E92000001,,,Enterprise,3,3 - Partnership,,5000-9999
265.0,Year,2017,E92000001,,,Enterprise,3,3 - Partnership,,10000-49999
55.0,Year,2017,E92000001,,,Enterprise,3,3 - Partnership,,50000+
166980.0,Year,2017,E92000001,,,Enterprise,3,3 - Partnership,,Total
5.0,Year,2017,E92000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,0-49
0.0,Year,2017,E92000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,50-99
10.0,Year,2017,E92000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,100-249
5.0,Year,2017,E92000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,250-499
10.0,Year,2017,E92000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,500-999
10.0,Year,2017,E92000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,1000-1999
0.0,Year,2017,E92000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,2000-4999
10.0,Year,2017,E92000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,5000-9999
65.0,Year,2017,E92000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,10000-49999
45.0,Year,2017,E92000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,50000+
160.0,Year,2017,E92000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,Total
140.0,Year,2017,E92000001,,,Enterprise,5,5 - Central Government,,0-49
75.0,Year,2017,E92000001,,,Enterprise,5,5 - Central Government,,50-99
170.0,Year,2017,E92000001,,,Enterprise,5,5 - Central Government,,100-249
130.0,Year,2017,E92000001,,,Enterprise,5,5 - Central Government,,250-499
210.0,Year,2017,E92000001,,,Enterprise,5,5 - Central Government,,500-999
615.0,Year,2017,E92000001,,,Enterprise,5,5 - Central Government,,1000-1999
1040.0,Year,2017,E92000001,,,Enterprise,5,5 - Central Government,,2000-4999
910.0,Year,2017,E92000001,,,Enterprise,5,5 - Central Government,,5000-9999
345.0,Year,2017,E92000001,,,Enterprise,5,5 - Central Government,,10000-49999
275.0,Year,2017,E92000001,,,Enterprise,5,5 - Central Government,,50000+
3910.0,Year,2017,E92000001,,,Enterprise,5,5 - Central Government,,Total
