V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,SIC07_codelist,SIC07,Turnover Size Band_codelist,Turnover Size Band
400.0,Year,2017,K04000001,,,Enterprise,03,03 : Fishing and aquaculture,,50-99
435.0,Year,2017,K04000001,,,Enterprise,03,03 : Fishing and aquaculture,,100-249
160.0,Year,2017,K04000001,,,Enterprise,03,03 : Fishing and aquaculture,,250-499
80.0,Year,2017,K04000001,,,Enterprise,03,03 : Fishing and aquaculture,,500-999
50.0,Year,2017,K04000001,,,Enterprise,03,03 : Fishing and aquaculture,,1000-4999
10.0,Year,2017,K04000001,,,Enterprise,03,03 : Fishing and aquaculture,,5000+
1865.0,Year,2017,K04000001,,,Enterprise,03,03 : Fishing and aquaculture,,Total
635.0,Year,2017,E92000001,,,Enterprise,03,03 : Fishing and aquaculture,,0-49
360.0,Year,2017,E92000001,,,Enterprise,03,03 : Fishing and aquaculture,,50-99
395.0,Year,2017,E92000001,,,Enterprise,03,03 : Fishing and aquaculture,,100-249
150.0,Year,2017,E92000001,,,Enterprise,03,03 : Fishing and aquaculture,,250-499
80.0,Year,2017,E92000001,,,Enterprise,03,03 : Fishing and aquaculture,,500-999
45.0,Year,2017,E92000001,,,Enterprise,03,03 : Fishing and aquaculture,,1000-4999
10.0,Year,2017,E92000001,,,Enterprise,03,03 : Fishing and aquaculture,,5000+
1675.0,Year,2017,E92000001,,,Enterprise,03,03 : Fishing and aquaculture,,Total
45.0,Year,2017,E12000001,,,Enterprise,03,03 : Fishing and aquaculture,,0-49
30.0,Year,2017,E12000001,,,Enterprise,03,03 : Fishing and aquaculture,,50-99
30.0,Year,2017,E12000001,,,Enterprise,03,03 : Fishing and aquaculture,,100-249
10.0,Year,2017,E12000001,,,Enterprise,03,03 : Fishing and aquaculture,,250-499
0.0,Year,2017,E12000001,,,Enterprise,03,03 : Fishing and aquaculture,,500-999
0.0,Year,2017,E12000001,,,Enterprise,03,03 : Fishing and aquaculture,,1000-4999
0.0,Year,2017,E12000001,,,Enterprise,03,03 : Fishing and aquaculture,,5000+
115.0,Year,2017,E12000001,,,Enterprise,03,03 : Fishing and aquaculture,,Total
30.0,Year,2017,E12000002,,,Enterprise,03,03 : Fishing and aquaculture,,0-49
20.0,Year,2017,E12000002,,,Enterprise,03,03 : Fishing and aquaculture,,50-99
25.0,Year,2017,E12000002,,,Enterprise,03,03 : Fishing and aquaculture,,100-249
10.0,Year,2017,E12000002,,,Enterprise,03,03 : Fishing and aquaculture,,250-499
5.0,Year,2017,E12000002,,,Enterprise,03,03 : Fishing and aquaculture,,500-999
0.0,Year,2017,E12000002,,,Enterprise,03,03 : Fishing and aquaculture,,1000-4999
5.0,Year,2017,E12000002,,,Enterprise,03,03 : Fishing and aquaculture,,5000+
95.0,Year,2017,E12000002,,,Enterprise,03,03 : Fishing and aquaculture,,Total
60.0,Year,2017,E12000003,,,Enterprise,03,03 : Fishing and aquaculture,,0-49
35.0,Year,2017,E12000003,,,Enterprise,03,03 : Fishing and aquaculture,,50-99
55.0,Year,2017,E12000003,,,Enterprise,03,03 : Fishing and aquaculture,,100-249
20.0,Year,2017,E12000003,,,Enterprise,03,03 : Fishing and aquaculture,,250-499
10.0,Year,2017,E12000003,,,Enterprise,03,03 : Fishing and aquaculture,,500-999
15.0,Year,2017,E12000003,,,Enterprise,03,03 : Fishing and aquaculture,,1000-4999
0.0,Year,2017,E12000003,,,Enterprise,03,03 : Fishing and aquaculture,,5000+
195.0,Year,2017,E12000003,,,Enterprise,03,03 : Fishing and aquaculture,,Total
10.0,Year,2017,E12000004,,,Enterprise,03,03 : Fishing and aquaculture,,0-49
15.0,Year,2017,E12000004,,,Enterprise,03,03 : Fishing and aquaculture,,50-99
15.0,Year,2017,E12000004,,,Enterprise,03,03 : Fishing and aquaculture,,100-249
5.0,Year,2017,E12000004,,,Enterprise,03,03 : Fishing and aquaculture,,250-499
5.0,Year,2017,E12000004,,,Enterprise,03,03 : Fishing and aquaculture,,500-999
0.0,Year,2017,E12000004,,,Enterprise,03,03 : Fishing and aquaculture,,1000-4999
0.0,Year,2017,E12000004,,,Enterprise,03,03 : Fishing and aquaculture,,5000+
50.0,Year,2017,E12000004,,,Enterprise,03,03 : Fishing and aquaculture,,Total
10.0,Year,2017,E12000005,,,Enterprise,03,03 : Fishing and aquaculture,,0-49
5.0,Year,2017,E12000005,,,Enterprise,03,03 : Fishing and aquaculture,,50-99
15.0,Year,2017,E12000005,,,Enterprise,03,03 : Fishing and aquaculture,,100-249
5.0,Year,2017,E12000005,,,Enterprise,03,03 : Fishing and aquaculture,,250-499
0.0,Year,2017,E12000005,,,Enterprise,03,03 : Fishing and aquaculture,,500-999
0.0,Year,2017,E12000005,,,Enterprise,03,03 : Fishing and aquaculture,,1000-4999
0.0,Year,2017,E12000005,,,Enterprise,03,03 : Fishing and aquaculture,,5000+
35.0,Year,2017,E12000005,,,Enterprise,03,03 : Fishing and aquaculture,,Total
75.0,Year,2017,E12000006,,,Enterprise,03,03 : Fishing and aquaculture,,0-49
45.0,Year,2017,E12000006,,,Enterprise,03,03 : Fishing and aquaculture,,50-99
40.0,Year,2017,E12000006,,,Enterprise,03,03 : Fishing and aquaculture,,100-249
20.0,Year,2017,E12000006,,,Enterprise,03,03 : Fishing and aquaculture,,250-499
5.0,Year,2017,E12000006,,,Enterprise,03,03 : Fishing and aquaculture,,500-999
5.0,Year,2017,E12000006,,,Enterprise,03,03 : Fishing and aquaculture,,1000-4999
0.0,Year,2017,E12000006,,,Enterprise,03,03 : Fishing and aquaculture,,5000+
190.0,Year,2017,E12000006,,,Enterprise,03,03 : Fishing and aquaculture,,Total
0.0,Year,2017,E12000007,,,Enterprise,03,03 : Fishing and aquaculture,,0-49
5.0,Year,2017,E12000007,,,Enterprise,03,03 : Fishing and aquaculture,,50-99
