V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Age Group_codelist,Age Group,Earnings_codelist,Earnings,Gender_codelist,Gender,Pension Type_codelist,Pension Type
1098.0,,1.2,Year,2016,K02000001,,,40 - 49,,£600 and over,,All,,Defined benefit
454.0,,2.0,Year,2016,K02000001,,,40 - 49,,£600 and over,,All,,Defined contribution
481.0,,1.9,Year,2016,K02000001,,,40 - 49,,£600 and over,,All,,Group personal pension
28.0,,8.1,Year,2016,K02000001,,,40 - 49,,£600 and over,,All,,Group self-invested personal pension
135.0,,3.7,Year,2016,K02000001,,,40 - 49,,£600 and over,,All,,Group stakeholder pension
32.0,,7.7,Year,2016,K02000001,,,40 - 49,,£600 and over,,All,,Unknown pension provision
303.0,,2.5,Year,2016,K02000001,,,40 - 49,,£600 and over,,All,,No pension provisiond
1285.0,,1.0,Year,2016,K02000001,,,50 - 54,,Total,,All,,Defined benefit
561.0,,1.6,Year,2016,K02000001,,,50 - 54,,Total,,All,,Defined contribution
438.0,,1.9,Year,2016,K02000001,,,50 - 54,,Total,,All,,Group personal pension
20.0,,9.3,Year,2016,K02000001,,,50 - 54,,Total,,All,,Group self-invested personal pension
147.0,,3.2,Year,2016,K02000001,,,50 - 54,,Total,,All,,Group stakeholder pension
45.0,,5.9,Year,2016,K02000001,,,50 - 54,,Total,,All,,Unknown pension provision
758.0,,1.3,Year,2016,K02000001,,,50 - 54,,Total,,All,,No pension provisiond
26.0,,6.8,Year,2016,K02000001,,,50 - 54,,Less than £100,,All,,Defined benefit
10.0,,11.0,Year,2016,K02000001,,,50 - 54,,Less than £100,,All,,Defined contribution
,x,22.0,Year,2016,K02000001,,,50 - 54,,Less than £100,,All,,Group personal pension
