V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Age Group_codelist,Age Group,Earnings_codelist,Earnings,Gender_codelist,Gender,Provision_codelist,Provision
16.6,,3.1,Year,2016,K02000001,,,40 - 49,,£400 - £500,,All,,Group personal pension
0.8,,16.0,Year,2016,K02000001,,,40 - 49,,£400 - £500,,All,,Group self-invested personal pension
4.8,,6.1,Year,2016,K02000001,,,40 - 49,,£400 - £500,,All,,Group stakeholder pension
1.5,,11.0,Year,2016,K02000001,,,40 - 49,,£400 - £500,,All,,Unknown pension provision
22.5,,2.6,Year,2016,K02000001,,,40 - 49,,£400 - £500,,All,,No pension provision
34.9,,2.1,Year,2016,K02000001,,,40 - 49,,£500 - £600,,All,,Defined benefit
20.6,,3.0,Year,2016,K02000001,,,40 - 49,,£500 - £600,,All,,Defined contribution
16.8,,3.5,Year,2016,K02000001,,,40 - 49,,£500 - £600,,All,,Group personal pension
0.8,,18.0,Year,2016,K02000001,,,40 - 49,,£500 - £600,,All,,Group self-invested personal pension
5.1,,6.7,Year,2016,K02000001,,,40 - 49,,£500 - £600,,All,,Group stakeholder pension
1.6,,13.0,Year,2016,K02000001,,,40 - 49,,£500 - £600,,All,,Unknown pension provision
20.2,,3.1,Year,2016,K02000001,,,40 - 49,,£500 - £600,,All,,No pension provision
43.4,,1.0,Year,2016,K02000001,,,40 - 49,,£600 and over,,All,,Defined benefit
18.0,,1.8,Year,2016,K02000001,,,40 - 49,,£600 and over,,All,,Defined contribution
19.0,,1.8,Year,2016,K02000001,,,40 - 49,,£600 and over,,All,,Group personal pension
1.1,,8.1,Year,2016,K02000001,,,40 - 49,,£600 and over,,All,,Group self-invested personal pension
5.4,,3.6,Year,2016,K02000001,,,40 - 49,,£600 and over,,All,,Group stakeholder pension
1.3,,7.7,Year,2016,K02000001,,,40 - 49,,£600 and over,,All,,Unknown pension provision
12.0,,2.3,Year,2016,K02000001,,,40 - 49,,£600 and over,,All,,No pension provision
39.5,,0.8,Year,2016,K02000001,,,50 - 54,,All,,All,,Defined benefit
17.2,,1.5,Year,2016,K02000001,,,50 - 54,,All,,All,,Defined contribution
13.5,,1.8,Year,2016,K02000001,,,50 - 54,,All,,All,,Group personal pension
0.6,,9.3,Year,2016,K02000001,,,50 - 54,,All,,All,,Group self-invested personal pension
4.5,,3.2,Year,2016,K02000001,,,50 - 54,,All,,All,,Group stakeholder pension
1.4,,5.9,Year,2016,K02000001,,,50 - 54,,All,,All,,Unknown pension provision
